monitor,theta,detection_rate,healthy_fa_rate,early_alarm_rate,median_delay,median_delay_ci_lo,median_delay_ci_hi,median_lead,median_lead_ci_lo,median_lead_ci_hi,mean_lead_all,mean_lead_all_ci_lo,mean_lead_all_ci_hi,mean_budget_saved,mean_budget_saved_all,episode_auc
esn_full,2.924926660281298,0.61,0.11875,0.0675,3.0,3.0,3.0,11.0,10.0,11.0,6.41,5.8273125,6.9776875,0.30661944088573767,0.18703785894029998,0.8341250000000001
esn_single,3.0986452045879935,0.5775,0.08125,0.06,3.0,3.0,3.0,11.0,10.0,11.0,6.0175,5.45,6.537624999999999,0.3040457967268904,0.1755864476097792,0.809296875
esn[e],3.131646580047977,0.5675,0.06875,0.06,3.0,3.0,3.0,11.0,11.0,12.0,6.195,5.59975,6.7375625,0.31884903073059334,0.18094682493961173,0.78428125
esn[u],4.5773472690429475,0.37,0.075,0.0225,5.0,4.0,6.0,7.0,7.0,8.0,2.6875,2.2749375,3.1000625,0.21987737242418598,0.08135462779694881,0.68096875
esn[m],6.015907347424311,0.355,0.0625,0.0125,5.0,4.0,6.0,8.0,7.0,9.0,2.78,2.3299375,3.2126875,0.2257340511425348,0.08013558815559986,0.696765625
"esn[e,u]",3.237508088924671,0.595,0.05,0.0475,3.0,3.0,4.0,11.0,10.0,11.0,6.235,5.6623125,6.7551875,0.304768883343896,0.18133748558961812,0.8449218749999999
esn_cusum,15.967505636754112,0.6525,0.0875,0.045,4.0,3.0,4.0,10.0,9.0,11.0,6.29,5.76,6.8051875,0.2826042003934693,0.18439924075673872,0.8533593750000001
esn_cusum[e],14.944672914834936,0.585,0.1,0.0575,4.0,3.0,4.0,10.5,10.0,11.0,6.0275,5.502375000000001,6.577624999999999,0.29994711525847473,0.17546906242620772,0.79034375
esn_cusum[u],26.12688621299419,0.41,0.05,0.0025,6.5,6.0,7.0,6.5,6.0,7.0,2.7225,2.3374375,3.0950625,0.19523773515421786,0.08004747141322932,0.66796875
esn_cusum[m],28.66794086281851,0.465,0.03125,0.01,7.0,6.0,7.0,7.0,6.0,8.0,3.235,2.8125,3.6550624999999997,0.20124951794591672,0.0935810258448513,0.708234375
"esn_cusum[e,u]",15.963070725733374,0.6475,0.11875,0.0525,4.0,4.0,4.0,10.0,9.0,10.0,6.215,5.6875,6.745125,0.28065607130526105,0.18172480617015652,0.8516093750000001
esn_cusum_max,32.7641647133631,0.79,0.0375,0.01,6.0,5.0,6.0,8.0,7.0,8.0,6.155,5.704875,6.5950625,0.22588080731808194,0.17844583778128473,0.88634375
linear_ar,17.03328755250741,0.615,0.09375,0.05,3.0,3.0,3.0,11.0,10.0,11.0,6.4175,5.8824375,6.9751875,0.30591106722561373,0.18813530634375247,0.8227656250000001
gru,17.4955341942976,0.595,0.06875,0.05,4.0,4.0,5.0,10.0,9.0,10.0,5.5475,5.0425,6.060375,0.27066336818891357,0.16104470407240354,0.828640625
tcn,24.83486911103986,0.42,0.0625,0.0275,6.0,5.0,7.0,7.0,6.0,8.0,3.005,2.5399375,3.4325625,0.20725306254134868,0.08704628626736646,0.72915625
lstm,14.88075410525842,0.625,0.1,0.0425,4.0,3.5,4.0,10.0,9.0,11.0,5.925,5.382375000000001,6.4476249999999995,0.27627798007719917,0.1726737375482495,0.822875
cosine_drift,1.2111067588024456,0.05,0.04375,0.0175,9.0,7.0,11.5,4.0,2.4875000000000114,5.5,0.25,0.12243750000000006,0.4,0.14086310922050088,0.007043155461025043,0.503515625
self_drift,0.743715705845554,0.2025,0.04375,0.0425,6.0,5.0,7.0,7.0,6.0,8.0,1.4475,1.1474375,1.7900625,0.19472970201418746,0.03943276465787296,0.55459375
rolling_surprisal,2.5060306186695174,0.015,0.08125,0.085,7.0,4.0,10.0,3.5,1.0,9.5,0.07,0.01,0.155,0.14373912678949466,0.00215608690184242,0.5621875000000001
mahalanobis,12.979817423105686,0.25,0.08125,0.0375,3.0,3.0,5.0,9.0,8.5,11.0,2.3775,1.957375,2.8250625,0.2758616540193579,0.06896541350483948,0.684578125
delta_mahalanobis,15.138098720304267,0.425,0.0375,0.035,3.0,3.0,3.0,10.0,9.0,11.0,4.1875,3.649875,4.732625,0.2897361795691683,0.12313787631689654,0.7858281250000001
iforest,0.008644386727319597,0.1175,0.03125,0.015,7.0,6.0,8.0,6.0,4.0,8.0,0.71,0.4948750000000001,0.935125,0.18466689322434648,0.021698359953860717,0.653078125
