monitor,quantile,theta,healthy_fa_rate,detection_rate,median_delay,median_lead
esn_full,0.5,1.6964279599927368,0.60625,0.5075,2.0,11.0
esn_full,0.5207916666666667,1.735487070898182,0.55625,0.525,2.5,11.0
esn_full,0.5415833333333333,1.7960508785795104,0.475,0.5325,3.0,11.0
esn_full,0.562375,1.814564371573633,0.46875,0.5375,3.0,11.0
esn_full,0.5831666666666666,1.8687574440483272,0.44375,0.55,3.0,11.0
esn_full,0.6039583333333334,1.9215792513300851,0.4375,0.5575,3.0,11.0
esn_full,0.62475,2.0318904019064337,0.4,0.5725,3.0,11.0
esn_full,0.6455416666666667,2.0794313272390053,0.38125,0.58,3.0,11.0
esn_full,0.6663333333333333,2.151307862956453,0.3375,0.595,3.0,11.0
esn_full,0.687125,2.186924303586478,0.325,0.595,3.0,11.0
esn_full,0.7079166666666666,2.2591477291848445,0.30625,0.6025,3.0,11.0
esn_full,0.7287083333333333,2.287992877156241,0.2875,0.6,3.0,11.0
esn_full,0.7495,2.444810755298284,0.24375,0.6,3.0,11.0
esn_full,0.7702916666666666,2.474089105981525,0.2375,0.6,3.0,11.0
esn_full,0.7910833333333334,2.4984951235616157,0.2375,0.6,3.0,11.0
esn_full,0.811875,2.5063626244131,0.23125,0.6,3.0,11.0
esn_full,0.8326666666666667,2.57578687865516,0.2,0.605,3.0,11.0
esn_full,0.8534583333333333,2.606380938213702,0.19375,0.605,3.0,11.0
esn_full,0.87425,2.64659732035338,0.1875,0.6025,3.0,11.0
esn_full,0.8950416666666667,2.713429299380775,0.16875,0.605,3.0,11.0
esn_full,0.9158333333333333,2.7826573047242262,0.1625,0.61,3.0,11.0
esn_full,0.936625,2.853186143102025,0.14375,0.615,3.0,11.0
esn_full,0.9574166666666667,2.924926660281298,0.11875,0.61,3.0,11.0
esn_full,0.9782083333333333,3.148426210168114,0.08125,0.6025,3.0,11.0
esn_full,0.999,3.6526720482200172,0.00625,0.6125,3.0,11.0
esn_single,0.5,1.6587692173500523,0.56875,0.4175,3.0,11.0
esn_single,0.5207916666666667,1.6745416715296049,0.54375,0.425,2.0,11.0
esn_single,0.5415833333333333,1.7678621540343815,0.49375,0.4425,2.0,11.0
esn_single,0.562375,1.7903624259072657,0.4875,0.45,2.0,11.0
esn_single,0.5831666666666666,1.8753912658276175,0.43125,0.4775,2.0,11.0
esn_single,0.6039583333333334,1.893191147652895,0.425,0.4825,2.0,11.0
esn_single,0.62475,1.9120096115248166,0.425,0.4825,2.0,11.0
esn_single,0.6455416666666667,1.9162856936109904,0.425,0.4875,2.0,11.0
esn_single,0.6663333333333333,1.9644656498325714,0.4125,0.505,2.0,11.0
esn_single,0.687125,1.9781057551896852,0.4,0.5175,2.0,11.0
esn_single,0.7079166666666666,2.001481248547176,0.3875,0.5275,2.0,11.0
esn_single,0.7287083333333333,2.129019522867889,0.325,0.5375,3.0,11.0
esn_single,0.7495,2.1684509577836106,0.3,0.5375,3.0,11.0
esn_single,0.7702916666666666,2.218276750376942,0.275,0.545,3.0,11.0
esn_single,0.7910833333333334,2.3416545663694825,0.25625,0.5475,3.0,11.0
esn_single,0.811875,2.3806303995789753,0.25625,0.55,3.0,11.0
esn_single,0.8326666666666667,2.4508908291280838,0.2375,0.5475,3.0,11.0
esn_single,0.8534583333333333,2.5562080474289495,0.225,0.555,3.0,11.0
esn_single,0.87425,2.699575295039896,0.175,0.5725,3.0,11.0
esn_single,0.8950416666666667,2.732475041110267,0.175,0.5775,3.0,11.0
esn_single,0.9158333333333333,2.7794033733829315,0.1375,0.5825,3.0,11.0
esn_single,0.936625,3.059195072241881,0.0875,0.5825,3.0,11.0
esn_single,0.9574166666666667,3.0986452045879935,0.08125,0.5775,3.0,11.0
esn_single,0.9782083333333333,3.133594368162912,0.06875,0.5775,3.0,11.0
esn_single,0.999,3.701329582120168,0.00625,0.5775,3.0,11.0
esn[e],0.5,1.6975652697249328,0.5375,0.415,2.0,11.0
esn[e],0.5207916666666667,1.731683189026099,0.525,0.4175,2.0,11.0
esn[e],0.5415833333333333,1.7510570055517856,0.50625,0.425,2.0,11.0
esn[e],0.562375,1.7821612798817663,0.50625,0.425,2.0,11.0
esn[e],0.5831666666666666,1.8168203556521172,0.50625,0.425,2.0,11.0
esn[e],0.6039583333333334,1.8237645180391209,0.50625,0.4275,2.0,11.0
esn[e],0.62475,1.8513176017840915,0.48125,0.4325,3.0,11.0
esn[e],0.6455416666666667,1.8786058040285414,0.45625,0.4325,3.0,11.0
esn[e],0.6663333333333333,1.932623635884244,0.43125,0.4475,3.0,11.0
esn[e],0.687125,1.947920055162412,0.425,0.4525,3.0,11.0
esn[e],0.7079166666666666,1.9931785267784554,0.4,0.465,3.0,11.0
esn[e],0.7287083333333333,2.042928377634181,0.36875,0.47,3.0,11.0
esn[e],0.7495,2.067708337299746,0.3625,0.4775,3.0,11.0
esn[e],0.7702916666666666,2.1222556730006463,0.35,0.485,3.0,11.0
esn[e],0.7910833333333334,2.186397076390801,0.3,0.4875,3.0,11.0
esn[e],0.811875,2.215018967163286,0.29375,0.4975,3.0,11.0
esn[e],0.8326666666666667,2.330600147520891,0.23125,0.5125,3.0,11.0
esn[e],0.8534583333333333,2.4142579285339445,0.2,0.5225,3.0,11.0
esn[e],0.87425,2.600310684327054,0.18125,0.54,3.0,11.0
esn[e],0.8950416666666667,2.736319650917038,0.15,0.5575,3.0,11.0
esn[e],0.9158333333333333,2.785963474973024,0.1375,0.5575,3.0,11.0
esn[e],0.936625,2.802684920966094,0.125,0.555,3.0,11.0
esn[e],0.9574166666666667,3.131646580047977,0.06875,0.5675,3.0,11.0
esn[e],0.9782083333333333,3.8667410013685517,0.0125,0.575,3.5,11.0
esn[e],0.999,4.393206296865869,0.0,0.57,4.0,10.0
esn[u],0.5,1.9614574910418336,0.46875,0.3925,3.0,9.0
esn[u],0.5207916666666667,2.031348286258827,0.45,0.4025,3.0,9.0
esn[u],0.5415833333333333,2.0463652010122315,0.44375,0.4025,3.0,9.0
esn[u],0.562375,2.0773057701386723,0.44375,0.4075,3.0,9.0
esn[u],0.5831666666666666,2.206410310488478,0.4375,0.3975,3.0,9.0
