primary,other,mean_lead_all_diff,perm_p_value,wilcoxon_p_value,det_primary_only,det_other_only,mcnemar_p_value
esn_cusum_max,rolling_surprisal,6.085,4.999750012499375e-05,3.666372313611365e-61,310,0,9.588073174409622e-94
esn_cusum_max,cosine_drift,5.905,4.999750012499375e-05,1.7124942701978048e-56,307,11,2.7467447543183294e-76
esn_cusum_max,iforest,5.445,4.999750012499375e-05,4.055214321576456e-56,269,0,2.1084395886461046e-81
esn_cusum_max,self_drift,4.7075,4.999750012499375e-05,6.547809788993801e-38,273,38,5.343897746163303e-45
esn_cusum_max,mahalanobis,3.7775,4.999750012499375e-05,4.152005507028648e-37,220,4,7.714243821313192e-60
esn_cusum_max,esn[u],3.4675,4.999750012499375e-05,9.953251744776336e-24,171,3,7.334651031773318e-47
esn_cusum_max,esn_cusum[u],3.4325,4.999750012499375e-05,2.3444271977577185e-22,155,3,3.59913657682002e-42
esn_cusum_max,esn[m],3.375,4.999750012499375e-05,5.074997265123977e-36,176,2,8.316892062732199e-50
esn_cusum_max,esn_cusum[m],2.92,4.999750012499375e-05,5.117606332816175e-40,131,1,4.885648395605132e-38
esn_cusum_max,tcn,2.885,4.999750012499375e-05,2.1514452260356468e-39,122,2,7.28900537057884e-34
esn_cusum_max,delta_mahalanobis,1.9675,4.999750012499375e-05,7.872128631616414e-11,147,1,8.35173884737591e-43
esn_cusum_max,lstm,0.525,0.0031998400079996,0.5352130864584281,74,4,9.9631125455154e-18
esn_cusum_max,gru,0.335,0.0759962001899905,0.007738101483604935,73,5,1.4966458740841218e-16
esn_cusum_max,esn_single,0.1375,0.5059247037648118,0.0012710155435231886,90,5,3.093195048615164e-21
esn_cusum_max,esn_cusum[e],0.1275,0.5509224538773061,0.020311805235458783,91,9,3.3220489794536525e-18
esn_cusum_max,esn[e],-0.04,0.8636068196590171,0.0029609353582226057,93,4,4.5653387447282835e-23
esn_cusum_max,"esn_cusum[e,u]",-0.06,0.7545622718864057,0.0004429197733261084,65,8,3.230981506909271e-12
esn_cusum_max,"esn[e,u]",-0.08,0.7102144892755362,0.0005789946062683438,83,5,2.6897131479179897e-19
esn_cusum_max,esn_cusum,-0.135,0.48202589870506474,2.2990463838949632e-05,62,7,4.102799046681871e-12
esn_cusum_max,esn_full,-0.255,0.2447877606119694,2.2889974185146405e-05,80,8,4.601761192576427e-16
esn_cusum_max,linear_ar,-0.2625,0.2329883505824709,1.4615433102904e-05,80,8,4.601761192576427e-16
