policy,params,conf_threshold,mean_cost,mean_judge_calls,detection_rate,mean_lead,wrongful_halt_rate,cost_ratio_vs_judge,judge_call_ratio,selected_on_cal
never,theta_soft=25.9417,,38.482142857142854,0.0,0.0,,0.0,0.6514116437942082,0.0,False
judge_every_step,theta_soft=25.9417,,59.075,29.4375,0.9925,12.476070528967254,0.007142857142857143,1.0,1.0,False
halt_on_alarm,theta_soft=25.9417,,33.61607142857143,0.0,0.77,8.847402597402597,0.055357142857142855,0.5690405658666344,0.0,False
escalate_on_alarm,theta_soft=25.9417,,35.96785714285714,1.457142857142857,0.76,7.315789473684211,0.0,0.6088507345384196,0.049499545040946315,False
escalate_on_alarm,"theta_soft=25.9417, conf_threshold=0.5",0.5,35.582142857142856,2.892857142857143,0.8725,9.29512893982808,0.0,0.6023215041412248,0.09827115559599636,False
escalate_on_alarm,"theta_soft=25.9417, conf_threshold=0.7",0.7,35.62678571428572,2.2285714285714286,0.83,8.575301204819278,0.0,0.6030772021038632,0.07570518653321201,False
escalate_on_alarm,"theta_soft=25.9417, conf_threshold=0.8",0.8,35.6625,1.8267857142857142,0.81,8.030864197530864,0.0,0.6036817604739737,0.06205641492265696,True
escalate_on_alarm,"theta_soft=25.9417, conf_threshold=0.9",0.9,35.96071428571429,1.4857142857142858,0.77,7.285714285714286,0.0,0.6087298228643976,0.050470124355474676,False
escalate_on_alarm,"theta_soft=25.9417, conf_threshold=0.95",0.95,36.323214285714286,1.3196428571428571,0.74,6.581081081081081,0.0,0.6148660903210205,0.04482863208977859,False
escalate_on_alarm,"theta_soft=25.9417, conf_threshold=0.99",0.99,37.42142857142857,1.0946428571428573,0.6375,4.733333333333333,0.0,0.6334562602019225,0.03718531998786776,False
