dataset,hybrid,vs,dauc_ci_lo,dauc_ci_hi,mcnemar_n10,mcnemar_n01,mcnemar_p,perm_mean_dlead,perm_p,wilcoxon_p
real_research7b_long,hybrid_logistic,esn_cusum_max,-0.1264,0.1822,5,1,0.21875,0.476,4.999750012499375e-05,3.960992092598803e-05
real_research7b_long,hybrid_logistic,delta_mahalanobis,-0.0343,0.0318,0,1,1.0,-0.024,1.0,0.31731050786291415
