monitor,detection_rate,healthy_fa_rate,mean_lead_all,median_delay,episode_auc,det[goal_drift],det[looping],det[tool_cascade],det[context_corruption],det[malformed_json],det[rate_limit],det[timeout],det[wrong_document]
"esn_cusum_max[e,u,m,x]",0.3742690058479532,0.08333333333333333,0.2222222222222222,2.0,0.7755847953216374,0.045454545454545456,1.0,0.5454545454545454,0.045454545454545456,0.045454545454545456,0.7368421052631579,0.5,0.13636363636363635
hmt_single,0.3684210526315789,0.08333333333333333,0.2222222222222222,2.0,0.7631578947368421,0.045454545454545456,1.0,0.5454545454545454,0.0,0.045454545454545456,0.7368421052631579,0.5,0.13636363636363635
hmt_mt,0.2573099415204678,0.0,0.2046783625730994,2.0,0.7655945419103314,0.0,1.0,0.22727272727272727,0.0,0.045454545454545456,0.42105263157894735,0.4,0.0
hmt_h,0.28654970760233917,0.0,0.2046783625730994,2.0,0.7768031189083819,0.045454545454545456,1.0,0.22727272727272727,0.045454545454545456,0.045454545454545456,0.42105263157894735,0.4,0.13636363636363635
hmt_full,0.30409356725146197,0.041666666666666664,0.21052631578947367,2.0,0.7680311890838206,0.045454545454545456,1.0,0.36363636363636365,0.0,0.045454545454545456,0.42105263157894735,0.5,0.09090909090909091
ngrc_linear,0.005847953216374269,0.041666666666666664,0.005847953216374269,4.0,0.7475633528265107,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0
ngrc_quad_k1,0.36257309941520466,0.08333333333333333,0.28654970760233917,2.0,0.7217348927875243,0.13636363636363635,0.9545454545454546,0.5,0.0,0.18181818181818182,0.7894736842105263,0.35,0.045454545454545456
ngrc_quad_k2,0.13450292397660818,0.08333333333333333,0.023391812865497075,4.0,0.7725389863547757,0.13636363636363635,0.18181818181818182,0.0,0.0,0.18181818181818182,0.15789473684210525,0.15,0.2727272727272727
conceptor,0.5847953216374269,0.125,0.8011695906432749,1.0,0.7709551656920077,0.3181818181818182,1.0,1.0,0.045454545454545456,0.22727272727272727,1.0,1.0,0.18181818181818182
