monitor,detection_rate,healthy_fa_rate,mean_lead_all,median_delay,episode_auc,det[looping],det[tool_cascade],det[context_corruption]
"esn_cusum_max[e,m]",0.24390243902439024,0.0,0.12195121951219512,1.0,0.7979094076655053,0.25,0.6666666666666666,0.0
esn_cusum[e],0.2926829268292683,0.0,0.21951219512195122,2.0,0.7560975609756098,0.625,0.2222222222222222,0.0
self_drift,0.04878048780487805,0.0,0.0,2.5,0.578397212543554,0.0625,0.0,0.0625
linear_ar,0.3902439024390244,0.0,0.12195121951219512,1.5,0.6759581881533101,0.375,0.6666666666666666,0.25
gru,0.0,0.0,0.0,,0.505226480836237,0.0,0.0,0.0
lstm,0.14634146341463414,0.14285714285714285,0.0,1.0,0.5975609756097561,0.1875,0.1111111111111111,0.125
delta_mahalanobis,0.4634146341463415,0.0,0.024390243902439025,1.0,0.8432055749128919,0.5625,0.6666666666666666,0.25
mahalanobis,0.21951219512195122,0.0,0.0975609756097561,1.0,0.8048780487804879,0.25,0.3333333333333333,0.125
iforest,0.024390243902439025,0.0,0.024390243902439025,1.0,0.5993031358885017,0.0,0.0,0.0625
