dataset,hybrid,vs,dauc_ci_lo,dauc_ci_hi,mcnemar_n10,mcnemar_n01,mcnemar_p,perm_mean_dlead,perm_p,wilcoxon_p,mcnemar_p_holm,mcnemar_reject_holm,family_size
langgraph7b,hybrid_logistic,delta_mahalanobis,-0.0197,0.0207,0,2,0.5,-0.209,0.00034998250087495624,7.020778831614787e-05,0.5,False,8
real_research7b,hybrid_weighted50,esn_cusum_max,0.02,0.0624,0,1,1.0,0.0,1.0,1.0,1.0,False,8
real_research7b,hybrid_weighted50,delta_mahalanobis,-0.0906,0.0157,9,17,0.16863754391670227,-0.608,4.999750012499375e-05,1.3526757678657985e-14,1.0,False,8
real_research7b,hybrid_max,esn_cusum_max,0.0176,0.06,0,0,1.0,0.0,1.0,1.0,1.0,False,8
real_research7b,hybrid_max,delta_mahalanobis,-0.0962,0.0167,10,17,0.24778856337070465,-0.608,4.999750012499375e-05,1.3526757678657985e-14,1.0,False,8
real_research7b,hybrid_gated,esn_cusum_max,0.0249,0.1282,0,19,3.814697265625e-06,0.158,4.999750012499375e-05,1.2387096985696923e-06,3e-05,True,8
real_research7b,hybrid_gated,delta_mahalanobis,-0.0352,0.0332,4,30,6.16488978266716e-06,-0.45,4.999750012499375e-05,4.8120327766848876e-14,4e-05,True,8
real_research7b,hybrid_logistic,esn_cusum_max,0.0185,0.1333,15,11,0.557197093963623,0.561,4.999750012499375e-05,3.78841160387352e-14,1.0,False,8
real_research7b,hybrid_logistic,delta_mahalanobis,-0.01,0.0071,0,3,0.25,-0.047,0.015149242537873106,0.008152665635508488,1.0,False,8
real_research7b_long,hybrid_weighted50,esn_cusum_max,0.0,0.0,0,0,1.0,0.0,1.0,1.0,1.0,False,8
real_research7b_long,hybrid_weighted50,delta_mahalanobis,-0.1882,0.0714,0,5,0.0625,-0.5,4.999750012499375e-05,2.3625262680710295e-05,0.4375,False,8
