Held_Out_Class,Monitor,AUC,FA_Rate,Delay,Precision,Recall
context_corruption,esn_cusum_max,0.4793650793650793,0.3333333333333333,1.5,0.46153846153846156,0.3157894736842105
context_corruption,self_drift,0.4253968253968254,0.0,,0.0,0.0
context_corruption,linear_ar,0.6126984126984127,0.06666666666666667,1.0,0.8571428571428571,0.2857142857142857
context_corruption,gru,0.6015873015873016,0.06666666666666667,0.0,0.8333333333333334,0.23809523809523808
context_corruption,lstm,0.5904761904761906,0.06666666666666667,0.0,0.8,0.19047619047619047
context_corruption,delta_mahalanobis,0.5714285714285714,0.0,0.0,1.0,0.09523809523809523
context_corruption,mahalanobis,0.5333333333333333,0.06666666666666667,0.0,0.6666666666666666,0.09523809523809523
context_corruption,iforest,0.5968253968253968,0.13333333333333333,0.0,0.5,0.09523809523809523
goal_drift,esn_cusum_max,0.7606060606060606,0.3333333333333333,2.0,0.75,0.6818181818181818
goal_drift,self_drift,0.509090909090909,0.0,,0.0,0.0
goal_drift,linear_ar,0.7878787878787878,0.06666666666666667,2.0,0.9285714285714286,0.5909090909090909
goal_drift,gru,0.8196969696969697,0.06666666666666667,1.0,0.9411764705882353,0.7272727272727273
goal_drift,lstm,0.8333333333333334,0.06666666666666667,1.0,0.9411764705882353,0.7272727272727273
goal_drift,delta_mahalanobis,0.6787878787878788,0.0,4.5,1.0,0.36363636363636365
goal_drift,mahalanobis,0.6787878787878787,0.06666666666666667,4.5,0.8,0.18181818181818182
goal_drift,iforest,0.6696969696969697,0.13333333333333333,6.0,0.6666666666666666,0.18181818181818182
looping,esn_cusum_max,0.9851851851851852,0.3333333333333333,1.0,0.7391304347826086,1.0
looping,self_drift,0.47777777777777775,0.0,6.0,1.0,0.05555555555555555
looping,linear_ar,0.9888888888888889,0.06666666666666667,1.5,0.9473684210526315,1.0
looping,gru,0.9962962962962963,0.06666666666666667,1.0,0.9473684210526315,1.0
looping,lstm,0.9962962962962963,0.06666666666666667,1.0,0.9473684210526315,1.0
looping,delta_mahalanobis,0.962962962962963,0.0,3.0,1.0,0.7222222222222222
looping,mahalanobis,0.9148148148148147,0.06666666666666667,3.0,0.9333333333333333,0.7777777777777778
looping,iforest,0.8888888888888888,0.13333333333333333,3.5,0.875,0.7777777777777778
tool_cascade,esn_cusum_max,0.8629629629629629,0.3333333333333333,0.0,0.7,0.8235294117647058
tool_cascade,self_drift,0.45555555555555555,0.0,,0.0,0.0
tool_cascade,linear_ar,0.8925925925925926,0.06666666666666667,1.0,0.9333333333333333,0.7777777777777778
tool_cascade,gru,0.9333333333333333,0.06666666666666667,1.0,0.9375,0.8333333333333334
tool_cascade,lstm,0.9111111111111112,0.06666666666666667,1.0,0.9375,0.8333333333333334
tool_cascade,delta_mahalanobis,0.9259259259259259,0.0,0.0,1.0,0.8333333333333334
tool_cascade,mahalanobis,0.9074074074074074,0.06666666666666667,0.0,0.9375,0.8333333333333334
tool_cascade,iforest,0.7555555555555555,0.13333333333333333,2.5,0.75,0.3333333333333333
