policy,params,conf_threshold,mean_cost,mean_judge_calls,detection_rate,mean_lead,wrongful_halt_rate,cost_ratio_vs_judge,judge_call_ratio,selected_on_cal
never,theta_soft=52.6268,,38.58392857142857,0.0,0.0,,0.0,0.6617156157167795,0.0,False
judge_every_step,theta_soft=52.6268,,58.308928571428574,29.083928571428572,0.995,13.168341708542714,0.005357142857142857,1.0,1.0,False
halt_on_alarm,theta_soft=52.6268,,35.18928571428572,0.0,0.7,6.789285714285715,0.07678571428571429,0.6034973815575905,0.0,False
escalate_on_alarm,theta_soft=52.6268,,37.04821428571429,1.3446428571428573,0.6525,6.180076628352491,0.0,0.6353780663338744,0.046233192116411866,False
escalate_on_alarm,"theta_soft=52.6268, conf_threshold=0.5",0.5,35.580357142857146,2.8857142857142857,0.86,9.587209302325581,0.0017857142857142857,0.6102042691330046,0.09922023699883342,False
escalate_on_alarm,"theta_soft=52.6268, conf_threshold=0.7",0.7,35.746428571428574,2.219642857142857,0.825,8.581818181818182,0.0,0.6130523994732491,0.07631853625590962,True
escalate_on_alarm,"theta_soft=52.6268, conf_threshold=0.8",0.8,37.06071428571428,1.8857142857142857,0.7025,6.7935943060498225,0.0,0.6355924417358282,0.06483698655369313,False
escalate_on_alarm,"theta_soft=52.6268, conf_threshold=0.9",0.9,37.121428571428574,1.4267857142857143,0.6725,6.014869888475836,0.0,0.6366336936881757,0.0490575305458341,False
escalate_on_alarm,"theta_soft=52.6268, conf_threshold=0.95",0.95,37.45892857142857,1.1767857142857143,0.585,5.5085470085470085,0.0,0.6424218295409304,0.04046171793454903,False
escalate_on_alarm,"theta_soft=52.6268, conf_threshold=0.99",0.99,37.95,0.4517857142857143,0.25,6.08,0.0,0.6508437203319757,0.015533861361822311,False
