monitor,detection_rate,healthy_fa_rate,mean_lead_all,median_delay,episode_auc,det[goal_drift],det[looping],det[tool_cascade],det[context_corruption]
"esn_cusum_max[e,m]",0.7088607594936709,0.2,1.3670886075949367,1.5,0.840084388185654,0.7727272727272727,1.0,0.8333333333333334,0.2857142857142857
esn_cusum[e],0.45569620253164556,0.0,0.7848101265822784,2.0,0.7417721518987341,0.5454545454545454,0.6666666666666666,0.6666666666666666,0.0
self_drift,0.012658227848101266,0.0,0.0,6.0,0.4168776371308017,0.0,0.05555555555555555,0.0,0.0
linear_ar,0.569620253164557,0.0,1.0886075949367089,2.0,0.769198312236287,0.5454545454545454,0.9444444444444444,0.7777777777777778,0.09523809523809523
gru,0.620253164556962,0.2,1.3164556962025316,1.0,0.751054852320675,0.6818181818181818,0.9444444444444444,0.7777777777777778,0.14285714285714285
lstm,0.6582278481012658,0.2,1.5063291139240507,1.0,0.7320675105485233,0.7272727272727273,1.0,0.7777777777777778,0.19047619047619047
delta_mahalanobis,0.4430379746835443,0.2,0.22784810126582278,3.0,0.7122362869198313,0.3181818181818182,0.8888888888888888,0.5555555555555556,0.09523809523809523
mahalanobis,0.5063291139240507,0.2,0.4177215189873418,3.0,0.6421940928270042,0.36363636363636365,0.8888888888888888,0.6666666666666666,0.19047619047619047
iforest,0.27848101265822783,0.13333333333333333,0.0,3.0,0.6447257383966245,0.13636363636363635,0.6111111111111112,0.3333333333333333,0.09523809523809523
