monitor,detection_rate,healthy_fa_rate,mean_lead_all,median_delay,episode_auc,det[goal_drift],det[looping],det[tool_cascade],det[context_corruption]
"esn_cusum_max[e,u,m]",0.30303030303030304,0.16666666666666666,0.0,1.0,0.5606060606060606,0.5555555555555556,0.2857142857142857,0.1111111111111111,0.25
esn_cusum[e],0.15151515151515152,0.3333333333333333,0.0,1.0,0.4772727272727273,0.0,0.0,0.2222222222222222,0.375
self_drift,0.3333333333333333,0.16666666666666666,0.09090909090909091,1.0,0.5808080808080808,0.1111111111111111,0.42857142857142855,0.4444444444444444,0.375
linear_ar,0.09090909090909091,0.16666666666666666,0.06060606060606061,2.0,0.5,0.2222222222222222,0.0,0.1111111111111111,0.0
gru,0.21212121212121213,0.16666666666666666,0.0,1.0,0.5075757575757576,0.2222222222222222,0.42857142857142855,0.1111111111111111,0.125
lstm,0.21212121212121213,0.3333333333333333,0.0,1.0,0.44696969696969696,0.2222222222222222,0.14285714285714285,0.1111111111111111,0.375
delta_mahalanobis,0.12121212121212122,0.16666666666666666,0.0,1.0,0.47979797979797983,0.2222222222222222,0.0,0.0,0.25
mahalanobis,0.06060606060606061,0.16666666666666666,0.0,2.0,0.4747474747474747,0.2222222222222222,0.0,0.0,0.0
iforest,0.24242424242424243,0.16666666666666666,0.0,1.0,0.43939393939393934,0.2222222222222222,0.2857142857142857,0.1111111111111111,0.375
