dataset,episode_id,is_healthy,failure_class,T,tau,horizon,z_esn_at_alarm,z_maha_at_alarm,z_esn_max,z_maha_max,logit_max,theta_logistic,coef_esn,coef_maha,intercept,outcome_esn,outcome_maha,outcome_logistic
sim,test-0000,True,,43,,,2.026496470592399,0.7438332029738532,2.2271400558122076,2.882033788653103,-0.5582950207321102,2.6181949415969403,0.3234689711503596,0.2017096748646197,-1.363842102639833,correct_silence,correct_silence,correct_silence
sim,test-0001,True,,54,,,1.805050785127094,1.8247849466248074,2.490572849564208,3.4726130119546417,-0.41188740401908086,2.6181949415969403,0.3234689711503596,0.2017096748646197,-1.363842102639833,correct_silence,correct_silence,correct_silence
sim,test-0002,True,,54,,,0.27630782828329037,2.3290316313667945,0.6271678551574364,2.953482085506846,-0.8046768805918361,2.6181949415969403,0.3234689711503596,0.2017096748646197,-1.363842102639833,correct_silence,correct_silence,correct_silence
sim,test-0003,True,,37,,,5.26866228536229,9.532434949840628,5.656541250310211,9.532434949840628,2.2631910205455,2.6181949415969403,0.3234689711503596,0.2017096748646197,-1.363842102639833,correct_silence,false_alarm,correct_silence
sim,test-0004,True,,60,,,0.6857901240133438,2.339554991906563,1.2881329016620764,2.646800445668851,-0.6700994000547885,2.6181949415969403,0.3234689711503596,0.2017096748646197,-1.363842102639833,correct_silence,correct_silence,correct_silence
sim,test-0005,True,,49,,,5.613212132621511,8.507353269220312,6.406429514115206,8.6138603146759,2.1678733126408516,2.6181949415969403,0.3234689711503596,0.2017096748646197,-1.363842102639833,correct_silence,correct_silence,correct_silence
sim,test-0006,True,,50,,,0.7491598621457939,1.4650503497122325,1.0997407117734124,2.0030693988294828,-0.8259973031036361,2.6181949415969403,0.3234689711503596,0.2017096748646197,-1.363842102639833,correct_silence,correct_silence,correct_silence
sim,test-0007,True,,26,,,0.0,10.796421332421172,2.274322031970984,10.796421332421172,0.8139005340242855,2.6181949415969403,0.3234689711503596,0.2017096748646197,-1.363842102639833,correct_silence,false_alarm,correct_silence
sim,test-0008,True,,49,,,6.572303287324891,0.15422717350609097,6.689748388724622,3.6226025595118285,0.7932031928224785,2.6181949415969403,0.3234689711503596,0.2017096748646197,-1.363842102639833,correct_silence,correct_silence,correct_silence
sim,test-0009,True,,54,,,2.418683575200345,2.522842542855417,2.542631862980208,4.602434748962139,-0.07259126597750765,2.6181949415969403,0.3234689711503596,0.2017096748646197,-1.363842102639833,correct_silence,correct_silence,correct_silence
sim,test-0010,True,,28,,,4.2551057866464355,9.596851026125625,4.976252723979719,9.596851026125625,1.948330288506623,2.6181949415969403,0.3234689711503596,0.2017096748646197,-1.363842102639833,correct_silence,false_alarm,correct_silence
sim,test-0011,True,,29,,,3.4785977709832587,1.8347228836513576,3.4785977709832587,5.553583871084777,0.13145769571404875,2.6181949415969403,0.3234689711503596,0.2017096748646197,-1.363842102639833,correct_silence,correct_silence,correct_silence
sim,test-0012,True,,54,,,6.40009023104267,2.2198859844514134,6.40009023104267,3.0728607114515984,1.1541609798252277,2.6181949415969403,0.3234689711503596,0.2017096748646197,-1.363842102639833,correct_silence,correct_silence,correct_silence
sim,test-0013,True,,42,,,1.8798559318752281,2.356191405535847,1.9771258682667017,4.33694200266847,-0.28050043611580566,2.6181949415969403,0.3234689711503596,0.2017096748646197,-1.363842102639833,correct_silence,correct_silence,correct_silence
sim,test-0014,True,,32,,,0.6981996031738676,2.1800578520690066,1.2221423276948453,2.1800578520690066,-0.6982574348166923,2.6181949415969403,0.3234689711503596,0.2017096748646197,-1.363842102639833,correct_silence,correct_silence,correct_silence
