dataset,episode_id,is_healthy,failure_class,T,tau,horizon,z_esn_at_alarm,z_maha_at_alarm,z_esn_max,z_maha_max,logit_max,theta_logistic,coef_esn,coef_maha,intercept,outcome_esn,outcome_maha,outcome_logistic
real_research7b_long,real-healthy-004,True,,11,,,17.959508327572973,2.718651933477893,22.55125432174551,2.718651933477893,0.8332068320073147,4.176605776774492,0.015124878131337718,0.8212451248071798,-1.828418170405636,correct_silence,correct_silence,correct_silence
real_research7b_long,real-healthy-026,True,,11,,,6.378389087545798,3.479202435245659,14.970581138684677,3.479202435245659,0.9408462296793128,4.176605776774492,0.015124878131337718,0.8212451248071798,-1.828418170405636,correct_silence,correct_silence,correct_silence
real_research7b_long,real-healthy-023,True,,11,,,49.868822326823384,7.33129620258561,50.0,7.33129620258561,6.170773332356646,4.176605776774492,0.015124878131337718,0.8212451248071798,-1.828418170405636,false_alarm,false_alarm,false_alarm
real_research7b_long,real-healthy-002,True,,12,,,50.0,5.140678026087177,50.0,5.140678026087177,2.2971191257505925,4.176605776774492,0.015124878131337718,0.8212451248071798,-1.828418170405636,correct_silence,correct_silence,correct_silence
real_research7b_long,real-healthy-005,True,,11,,,0.0,5.0630273169780935,8.202700733895043,5.0630273169780935,1.9318453155698567,4.176605776774492,0.015124878131337718,0.8212451248071798,-1.828418170405636,correct_silence,correct_silence,correct_silence
real_research7b_long,real-healthy-007,True,,11,,,21.548170807665603,3.037311694073991,50.0,3.5458059507959656,1.2351070862627869,4.176605776774492,0.015124878131337718,0.8212451248071798,-1.828418170405636,correct_silence,correct_silence,correct_silence
real_research7b_long,real-looping-000,False,looping,11,2.0,8.0,0.0,28.586468433586116,50.0,28.586468433586116,17.2467512734223,4.176605776774492,0.015124878131337718,0.8212451248071798,-1.828418170405636,true_alarm,true_alarm,true_alarm
real_research7b_long,real-looping-001,False,looping,11,2.0,8.0,0.0,27.99412119928735,50.0,27.99412119928735,25.462130403977422,4.176605776774492,0.015124878131337718,0.8212451248071798,-1.828418170405636,true_alarm,true_alarm,true_alarm
real_research7b_long,real-looping-002,False,looping,11,2.0,8.0,0.0,28.025446678574667,50.0,28.025446678574667,16.881498784395788,4.176605776774492,0.015124878131337718,0.8212451248071798,-1.828418170405636,true_alarm,true_alarm,true_alarm
real_research7b_long,real-looping-003,False,looping,11,2.0,8.0,0.0,28.304546633367092,50.0,28.304546633367092,25.769899074750334,4.176605776774492,0.015124878131337718,0.8212451248071798,-1.828418170405636,true_alarm,true_alarm,true_alarm
real_research7b_long,real-looping-004,False,looping,11,2.0,8.0,0.0,28.743413547671974,50.0,28.743413547671974,17.34893018724934,4.176605776774492,0.015124878131337718,0.8212451248071798,-1.828418170405636,true_alarm,true_alarm,true_alarm
real_research7b_long,real-looping-005,False,looping,11,2.0,8.0,0.0,28.344015022184053,50.0,28.344015022184053,17.088902293063658,4.176605776774492,0.015124878131337718,0.8212451248071798,-1.828418170405636,true_alarm,true_alarm,true_alarm
real_research7b_long,real-tool_cascade-000,False,tool_cascade,11,2.0,8.0,50.0,16.62740445245875,50.0,16.62740445245875,9.77553753024403,4.176605776774492,0.015124878131337718,0.8212451248071798,-1.828418170405636,true_alarm,true_alarm,true_alarm
