Held_Out_Class,AUC,FA_Rate,Lead,Delay,Precision,Recall
context_corruption,0.4793650793650793,0.3333333333333333,1.0,1.5,0.46153846153846156,0.3157894736842105
goal_drift,0.7606060606060606,0.3333333333333333,3.0,2.0,0.75,0.6818181818181818
looping,0.9851851851851852,0.3333333333333333,1.0,1.0,0.7391304347826086,1.0
tool_cascade,0.8629629629629629,0.3333333333333333,3.0,0.0,0.7,0.8235294117647058
