dataset,monitor,failure_class,detection_rate,median_delay
real_research3b,hybrid_logistic_g,tool_cascade,0.5,3.0
real_research3b,hybrid_logistic_g,context_corruption,0.5,3.0
real_research3b,hybrid_logistic_g,malformed_json,0.6666666666666666,4.0
real_research3b,hybrid_logistic_g,rate_limit,0.16666666666666666,4.0
real_research3b,hybrid_logistic_g,timeout,0.5,3.0
real_research3b,hybrid_logistic_g,wrong_document,1.0,1.0
real_research3b,dual_budget,goal_drift,0.8333333333333334,5.0
real_research3b,dual_budget,looping,1.0,0.0
real_research3b,dual_budget,tool_cascade,0.5,3.0
real_research3b,dual_budget,context_corruption,0.6666666666666666,4.0
real_research3b,dual_budget,malformed_json,0.8333333333333334,1.0
real_research3b,dual_budget,rate_limit,0.3333333333333333,3.0
real_research3b,dual_budget,timeout,0.8333333333333334,3.0
real_research3b,dual_budget,wrong_document,1.0,1.0
