monitor,detection_rate,healthy_fa_rate,mean_lead_all,median_delay,episode_auc,det[goal_drift],det[looping],det[tool_cascade],det[context_corruption]
"esn_cusum_max[e,m]",0.6329113924050633,0.06666666666666667,1.3670886075949367,1.0,0.7873417721518987,0.5909090909090909,0.9444444444444444,0.8333333333333334,0.23809523809523808
esn_cusum[e],0.6708860759493671,0.2,1.3291139240506329,1.0,0.7502109704641351,0.7272727272727273,0.9444444444444444,0.7777777777777778,0.2857142857142857
self_drift,0.012658227848101266,0.0,0.0,6.0,0.4168776371308017,0.0,0.05555555555555555,0.0,0.0
linear_ar,0.5949367088607594,0.2,1.5696202531645569,1.0,0.7527426160337553,0.6363636363636364,0.9444444444444444,0.7777777777777778,0.09523809523809523
gru,0.569620253164557,0.0,1.3924050632911393,2.0,0.7637130801687765,0.5909090909090909,0.8888888888888888,0.7777777777777778,0.09523809523809523
lstm,0.6835443037974683,0.26666666666666666,1.6455696202531647,1.0,0.7523206751054852,0.7272727272727273,1.0,0.8333333333333334,0.23809523809523808
delta_mahalanobis,0.5063291139240507,0.2,0.7468354430379747,1.5,0.729957805907173,0.3181818181818182,0.8888888888888888,0.8333333333333334,0.09523809523809523
mahalanobis,0.5569620253164557,0.2,0.6962025316455697,2.0,0.6725738396624473,0.36363636363636365,0.8888888888888888,0.8888888888888888,0.19047619047619047
iforest,0.27848101265822783,0.13333333333333333,0.0,3.0,0.6447257383966245,0.13636363636363635,0.6111111111111112,0.3333333333333333,0.09523809523809523
