framework,dataset,monitor,n_healthy_test,n_injected,n_calib_fit,n_calib_cal,theta,detection_rate,detection_ci_lo,detection_ci_hi,healthy_fa_rate,healthy_fa_ci_lo,healthy_fa_ci_hi,episode_auc
langgraph,langgraph7b_real2,frozen,24,24,,,40.08187009017411,0.9166666666666666,0.7300271984423964,0.9897436587186352,0.9583333333333334,0.7887983165429797,0.99894564755452,0.6388888888888888
langgraph,langgraph7b_real2,calibrated,24,24,72.0,24.0,191.86043326905454,0.625,0.4059363840077957,0.8120070718039977,0.0,0.0,0.14247359772258136,0.8784722222222221
autogen,autogen7b_real2,frozen,24,23,,,40.08187009017411,0.6956521739130435,0.4708083339914931,0.8678971203019153,0.7916666666666666,0.5784871563627672,0.9286813828019452,0.5760869565217391
autogen,autogen7b_real2,calibrated,24,23,72.0,24.0,5.973682053792339,0.9130434782608695,0.7196206640905891,0.989290033962079,0.125,0.02655931498621749,0.3236113581886987,0.8985507246376812
