monitor,detection_rate,healthy_fa_rate,mean_lead_all,median_delay,episode_auc,det[looping],det[tool_cascade],det[context_corruption]
"esn_cusum_max[e,m]",0.45714285714285713,0.25,0.7714285714285715,1.0,0.6047619047619047,0.3333333333333333,0.9166666666666666,0.09090909090909091
esn_cusum[e],0.08571428571428572,0.3333333333333333,0.02857142857142857,2.0,0.4321428571428571,0.08333333333333333,0.16666666666666666,0.0
self_drift,0.22857142857142856,0.08333333333333333,0.05714285714285714,1.0,0.5452380952380953,0.08333333333333333,0.3333333333333333,0.2727272727272727
linear_ar,0.5714285714285714,0.3333333333333333,0.7714285714285715,1.0,0.6583333333333333,0.6666666666666666,0.75,0.2727272727272727
gru,0.5142857142857142,0.3333333333333333,0.6285714285714286,1.0,0.6285714285714286,0.5833333333333334,0.8333333333333334,0.09090909090909091
lstm,0.5428571428571428,0.3333333333333333,0.6,1.0,0.6571428571428571,0.5833333333333334,0.6666666666666666,0.36363636363636365
delta_mahalanobis,0.2571428571428571,0.16666666666666666,0.5142857142857142,0.0,0.7357142857142857,0.3333333333333333,0.4166666666666667,0.0
mahalanobis,0.2571428571428571,0.0,0.5142857142857142,0.0,0.7452380952380953,0.25,0.4166666666666667,0.09090909090909091
iforest,0.11428571428571428,0.16666666666666666,0.0,2.5,0.5380952380952381,0.08333333333333333,0.16666666666666666,0.09090909090909091
