dataset,monitor,auroc_mean,auroc_std,auprc_mean,auprc_std,detection_rate_mean,detection_rate_std,healthy_fa_rate_mean,healthy_fa_rate_std,mean_lead_all_mean,mean_lead_all_std
real_research7b,joint_budget,0.8018,0.0038,0.9685,0.0006,0.4327,0.0137,0.0583,0.0228,0.2971,0.0146
real_research7b_long,esn_cusum_max,0.7817,0.0137,0.9659,0.0019,0.5714,0.0,0.1333,0.0745,3.6429,0.0
real_research7b_long,delta_mahalanobis,0.8492,0.0,0.9771,0.0,0.6905,0.0,0.1667,0.0,4.1429,0.0
real_research7b_long,hybrid_weighted50,0.7873,0.0087,0.9665,0.0016,0.5714,0.0,0.1333,0.0745,3.6429,0.0
real_research7b_long,grounding,0.7063,0.0,0.9403,0.0,0.0714,0.0,0.0,0.0,0.1905,0.0
real_research7b_long,hybrid_weighted_g,0.9048,0.0,0.9877,0.0,0.8333,0.0,0.0,0.0,5.6429,0.0
real_research7b_long,hybrid_content_gate,0.9325,0.0028,0.9906,0.0004,0.8571,0.0,0.1333,0.0745,5.6667,0.0
real_research7b_long,hybrid_adaptive,0.9325,0.0084,0.9909,0.001,0.8381,0.0106,0.1333,0.0745,5.5857,0.0548
real_research7b_long,hybrid_logistic,0.8476,0.0246,0.9766,0.0042,0.6524,0.0319,0.1,0.0913,4.1,0.0426
real_research7b_long,hybrid_logistic_g,0.9492,0.0076,0.9923,0.0015,0.6714,0.0568,0.0333,0.0745,4.1048,0.1909
real_research7b_long,joint_budget,0.9048,0.0,0.9877,0.0,0.8333,0.0,0.0,0.0,5.6429,0.0
real_research3b,esn_cusum_max,0.5752,0.0111,0.8987,0.0042,0.3739,0.0471,0.3143,0.0639,0.6478,0.0659
real_research3b,delta_mahalanobis,0.6646,0.0,0.9145,0.0,0.1304,0.0,0.0,0.0,0.0,0.0
real_research3b,hybrid_weighted50,0.5851,0.0121,0.9009,0.0039,0.3478,0.0461,0.2857,0.101,0.5957,0.0248
real_research3b,grounding,0.7283,0.0,0.9565,0.0,0.1522,0.0,0.0,0.0,0.6087,0.0
real_research3b,hybrid_weighted_g,0.5919,0.0127,0.9023,0.0041,0.3522,0.0541,0.2857,0.101,0.6,0.0292
real_research3b,hybrid_content_gate,0.5994,0.0116,0.9057,0.0026,0.3783,0.0567,0.2857,0.101,0.7522,0.0778
real_research3b,hybrid_adaptive,0.582,0.014,0.8891,0.0035,0.3522,0.0541,0.2571,0.1195,0.5478,0.0357
real_research3b,hybrid_logistic,0.6466,0.0143,0.9189,0.0102,0.3217,0.0496,0.2,0.1278,0.3783,0.0424
real_research3b,hybrid_logistic_g,0.6571,0.0191,0.9214,0.0104,0.3565,0.033,0.2,0.1278,0.4043,0.0248
real_research3b,joint_budget,0.5919,0.0127,0.9023,0.0041,0.3522,0.0541,0.2857,0.101,0.6,0.0292
ollama_llama8b,esn_cusum_max,0.8847,0.0036,0.9552,0.0005,0.7793,0.0116,0.125,0.0,1.9431,0.0509
ollama_llama8b,delta_mahalanobis,0.8933,0.0,0.9786,0.0,0.9224,0.0,0.3125,0.0,2.2155,0.0
ollama_llama8b,hybrid_weighted50,0.8922,0.0044,0.9562,0.0006,0.7948,0.0187,0.125,0.0,1.9414,0.0493
ollama_llama8b,grounding,0.5789,0.0,0.9191,0.0,0.2414,0.0,0.125,0.0,1.0345,0.0
ollama_llama8b,hybrid_weighted_g,0.8816,0.0053,0.9549,0.0007,0.7948,0.0187,0.125,0.0,1.9414,0.0493
ollama_llama8b,hybrid_content_gate,0.8927,0.0044,0.9562,0.0006,0.8034,0.0187,0.125,0.0,1.969,0.0509
ollama_llama8b,hybrid_adaptive,0.8883,0.0044,0.9557,0.0006,0.7948,0.0187,0.125,0.0,1.9086,0.0131
ollama_llama8b,hybrid_logistic,0.9336,0.0066,0.9853,0.0028,0.9672,0.0197,0.2625,0.0815,2.2293,0.0828
ollama_llama8b,hybrid_logistic_g,0.9483,0.0046,0.9916,0.0011,0.931,0.0328,0.125,0.0,2.2052,0.1397
ollama_llama8b,joint_budget,0.8816,0.0053,0.9549,0.0007,0.7948,0.0187,0.125,0.0,1.9414,0.0493
real_gemini_long,esn_cusum_max,0.8087,0.0163,0.9527,0.0048,0.4062,0.0175,0.15,0.0373,2.2646,0.1391
real_gemini_long,delta_mahalanobis,0.8038,0.0,0.9507,0.0,0.0923,0.0,0.0,0.0,0.2154,0.0
real_gemini_long,hybrid_weighted50,0.8082,0.0113,0.9511,0.0041,0.3877,0.0169,0.15,0.0373,2.1785,0.1339
real_gemini_long,grounding,0.5731,0.0,0.9112,0.0,0.4462,0.0,0.25,0.0,2.2154,0.0
real_gemini_long,hybrid_weighted_g,0.7967,0.0147,0.9553,0.0059,0.5477,0.0084,0.15,0.0373,3.0985,0.1154
real_gemini_long,hybrid_content_gate,0.899,0.0087,0.98,0.002,0.7046,0.0069,0.15,0.0373,3.7077,0.1088
real_gemini_long,hybrid_adaptive,0.8838,0.0132,0.975,0.0043,0.6862,0.0084,0.15,0.0373,3.6092,0.1058
real_gemini_long,hybrid_logistic,0.8067,0.007,0.9507,0.0034,0.3631,0.0233,0.15,0.0373,2.0062,0.1159
real_gemini_long,hybrid_logistic_g,0.8323,0.0092,0.9564,0.0041,0.3815,0.0228,0.15,0.0373,2.1262,0.1465
real_gemini_long,joint_budget,0.8162,0.0144,0.9589,0.0061,0.5477,0.0084,0.15,0.0373,3.0985,0.1154
real_research7b_long_ext,esn_cusum_max,0.8278,0.0367,0.9879,0.0028,0.5714,0.0,0.0,0.0,3.7407,0.006
real_research7b_long_ext,delta_mahalanobis,0.7253,0.0,0.9794,0.0,0.3516,0.0,0.0,0.0,1.3736,0.0
real_research7b_long_ext,hybrid_weighted50,0.7549,0.008,0.9818,0.0007,0.5495,0.0,0.0,0.0,3.4527,0.0049
real_research7b_long_ext,grounding,0.631,0.0,0.9678,0.0,0.4505,0.0,0.1667,0.0,3.1319,0.0
real_research7b_long_ext,hybrid_weighted_g,0.9095,0.0025,0.994,0.0002,0.8352,0.0,0.0,0.0,5.6945,0.0049
real_research7b_long_ext,hybrid_content_gate,1.0,0.0,1.0,0.0,0.978,0.0,0.0,0.0,6.8593,0.0049
real_research7b_long_ext,hybrid_adaptive,1.0,0.0,1.0,0.0,0.978,0.0,0.0,0.0,6.7714,0.0049
real_research7b_long_ext,hybrid_logistic,0.7403,0.0113,0.9808,0.0007,0.5473,0.0049,0.0,0.0,3.6615,0.1469
real_research7b_long_ext,hybrid_logistic_g,1.0,0.0,1.0,0.0,0.778,0.0238,0.0,0.0,5.2857,0.1852
real_research7b_long_ext,joint_budget,0.9762,0.0,0.9984,0.0,0.8352,0.0,0.0,0.0,5.6945,0.0049
