dataset,episode_id,failure_class,T,tau,horizon,det_esn,det_maha,det_logistic
sim,test-0287,looping,29,18,10,True,False,True
sim,test-0288,looping,36,17,18,True,True,True
sim,test-0289,looping,33,18,14,True,False,True
sim,test-0290,looping,33,22,10,True,False,False
sim,test-0291,looping,31,18,12,True,False,True
sim,test-0292,looping,35,23,11,True,False,True
sim,test-0293,looping,19,10,8,False,False,False
sim,test-0294,looping,26,12,13,True,False,True
sim,test-0295,looping,34,24,9,True,False,True
sim,test-0296,looping,34,18,15,True,False,True
sim,test-0297,looping,41,26,14,True,False,True
sim,test-0298,looping,47,27,19,True,False,True
sim,test-0299,looping,28,11,16,True,False,True
sim,test-0300,looping,20,11,8,False,False,False
sim,test-0301,looping,38,17,20,True,False,True
sim,test-0302,looping,22,10,11,True,False,True
sim,test-0303,looping,35,14,20,True,False,True
sim,test-0304,looping,25,10,14,True,False,False
sim,test-0305,looping,42,31,10,True,False,True
sim,test-0306,looping,48,31,16,True,True,True
sim,test-0307,looping,43,28,14,True,False,True
sim,test-0308,looping,36,27,8,True,True,True
sim,test-0309,looping,49,28,20,True,False,True
sim,test-0310,looping,33,17,15,True,False,True
sim,test-0311,looping,26,11,14,True,True,True
sim,test-0312,looping,33,16,16,True,False,True
sim,test-0313,looping,28,15,12,True,False,True
sim,test-0314,looping,33,12,20,True,True,True
sim,test-0315,looping,40,26,13,True,True,True
sim,test-0316,looping,35,22,12,True,False,False
sim,test-0317,looping,23,12,10,True,False,False
sim,test-0318,looping,30,14,15,True,False,True
sim,test-0319,looping,35,15,19,True,False,True
sim,test-0320,tool_cascade,49,37,11,True,True,True
sim,test-0321,tool_cascade,39,20,18,True,False,True
sim,test-0322,tool_cascade,38,19,18,True,True,True
sim,test-0323,tool_cascade,45,25,19,True,True,True
sim,test-0324,tool_cascade,31,21,9,True,True,True
sim,test-0325,tool_cascade,27,12,14,True,True,True
sim,test-0326,tool_cascade,42,21,20,True,True,True
sim,test-0327,tool_cascade,23,11,11,True,True,True
sim,test-0328,tool_cascade,33,19,13,True,True,True
sim,test-0329,tool_cascade,28,12,15,True,True,True
sim,test-0330,tool_cascade,26,13,12,True,True,True
sim,test-0331,tool_cascade,44,31,12,True,True,True
sim,test-0332,tool_cascade,23,14,8,True,True,True
sim,test-0333,tool_cascade,44,23,20,True,True,True
sim,test-0334,tool_cascade,37,18,18,True,True,True
sim,test-0335,tool_cascade,43,32,10,True,True,True
sim,test-0336,tool_cascade,35,18,16,True,True,True
sim,test-0337,tool_cascade,29,16,12,True,True,True
sim,test-0338,tool_cascade,47,34,12,True,True,True
sim,test-0339,tool_cascade,47,28,18,True,True,True
sim,test-0340,tool_cascade,29,13,15,True,True,True
sim,test-0341,tool_cascade,27,10,16,True,True,True
sim,test-0342,tool_cascade,27,16,10,True,True,True
sim,test-0343,tool_cascade,55,34,20,True,True,True
sim,test-0344,tool_cascade,41,25,15,True,True,True
sim,test-0345,tool_cascade,40,21,18,True,True,True
sim,test-0346,tool_cascade,35,14,20,True,True,True
sim,test-0347,tool_cascade,27,16,10,True,True,True
sim,test-0348,tool_cascade,44,27,16,True,True,True
sim,test-0349,tool_cascade,29,17,11,True,True,True
sim,test-0350,tool_cascade,24,15,8,True,True,True
sim,test-0351,tool_cascade,36,21,14,True,True,True
sim,test-0352,tool_cascade,29,13,15,True,True,True
sim,test-0353,tool_cascade,33,14,18,True,True,True
sim,test-0354,tool_cascade,34,17,16,True,True,True
sim,test-0355,tool_cascade,43,26,16,True,True,True
sim,test-0356,tool_cascade,38,17,20,True,True,True
sim,test-0357,tool_cascade,35,21,13,True,True,True
sim,test-0358,tool_cascade,34,22,11,True,True,True
sim,test-0359,tool_cascade,27,10,16,True,True,True
sim,test-0360,tool_cascade,25,15,9,True,True,True
sim,test-0361,tool_cascade,39,25,13,True,True,True
sim,test-0362,tool_cascade,44,30,13,True,True,True
sim,test-0363,tool_cascade,48,29,18,True,True,True
sim,test-0364,tool_cascade,37,20,16,True,True,True
sim,test-0365,tool_cascade,37,21,15,True,True,True
sim,test-0366,tool_cascade,42,21,20,True,True,True
sim,test-0367,tool_cascade,35,15,19,True,True,True
sim,test-0368,tool_cascade,39,29,9,True,True,True
sim,test-0369,tool_cascade,34,15,18,True,True,True
sim,test-0370,tool_cascade,36,17,18,False,False,False
sim,test-0371,tool_cascade,52,34,17,True,True,True
sim,test-0372,tool_cascade,32,19,12,True,True,True
sim,test-0373,tool_cascade,33,23,9,True,True,True
sim,test-0374,tool_cascade,35,19,15,False,True,False
sim,test-0375,tool_cascade,38,18,19,True,True,True
sim,test-0376,tool_cascade,34,25,8,True,True,True
sim,test-0377,tool_cascade,29,16,12,True,True,True
sim,test-0378,tool_cascade,35,25,9,True,True,True
sim,test-0379,tool_cascade,34,14,19,True,True,True
sim,test-0380,tool_cascade,29,18,10,True,True,True
sim,test-0381,tool_cascade,48,29,18,True,True,True
sim,test-0382,tool_cascade,29,17,11,True,True,True
sim,test-0383,tool_cascade,35,22,12,True,True,True
sim,test-0384,tool_cascade,38,21,16,True,True,True
sim,test-0385,tool_cascade,39,18,20,True,True,True
sim,test-0386,tool_cascade,36,17,18,True,True,True
sim,test-0387,tool_cascade,37,17,19,True,True,True
sim,test-0388,tool_cascade,28,15,12,True,True,True
sim,test-0389,tool_cascade,39,28,10,True,True,True
sim,test-0390,tool_cascade,51,32,18,True,False,True
sim,test-0391,tool_cascade,54,37,16,True,True,True
sim,test-0392,tool_cascade,31,10,20,True,True,True
sim,test-0393,tool_cascade,42,24,17,True,True,True
sim,test-0394,tool_cascade,50,29,20,True,True,True
sim,test-0395,tool_cascade,27,15,11,True,True,True
sim,test-0396,tool_cascade,28,11,16,True,True,True
sim,test-0397,tool_cascade,42,24,17,True,True,True
sim,test-0398,tool_cascade,34,23,10,True,True,True
sim,test-0399,tool_cascade,28,16,11,True,True,True
sim,test-0400,grounding_loss,32,12,19,True,False,False
sim,test-0401,grounding_loss,36,23,12,True,False,True
sim,test-0402,grounding_loss,50,30,19,True,False,True
sim,test-0403,grounding_loss,39,28,10,True,False,True
sim,test-0404,grounding_loss,24,11,12,True,False,False
sim,test-0405,grounding_loss,36,25,10,True,False,True
sim,test-0406,grounding_loss,30,15,14,True,False,True
sim,test-0407,grounding_loss,28,18,9,True,False,True
sim,test-0408,grounding_loss,38,22,15,True,False,True
sim,test-0409,grounding_loss,37,18,18,True,False,False
sim,test-0410,grounding_loss,27,17,9,True,False,False
sim,test-0411,grounding_loss,45,25,19,True,False,False
sim,test-0412,grounding_loss,24,15,8,True,False,True
sim,test-0413,grounding_loss,31,15,15,True,True,True
sim,test-0414,grounding_loss,36,20,15,True,False,True
sim,test-0415,grounding_loss,49,34,14,True,False,True
sim,test-0416,grounding_loss,38,18,19,True,False,True
sim,test-0417,grounding_loss,34,24,9,True,False,True
sim,test-0418,grounding_loss,29,18,10,True,False,True
sim,test-0419,grounding_loss,31,18,12,True,False,True
sim,test-0420,grounding_loss,35,14,20,True,False,True
