dataset,hybrid,vs,dauc_ci_lo,dauc_ci_hi,mcnemar_n10,mcnemar_n01,mcnemar_p,perm_mean_dlead,perm_p,wilcoxon_p,mcnemar_p_holm,mcnemar_reject_holm,family_size
real_research7b,hybrid_weighted50,esn_cusum_max,0.0201,0.0627,0,1,1.0,0.0,1.0,1.0,1.0,False,8
real_research7b,hybrid_weighted50,delta_mahalanobis,-0.0907,0.0155,8,17,0.10775214433670044,-0.602,4.999750012499375e-05,2.1954191016721497e-14,0.64651,False,8
real_research7b,hybrid_max,esn_cusum_max,0.0176,0.06,0,0,1.0,0.0,1.0,1.0,1.0,False,8
real_research7b,hybrid_max,delta_mahalanobis,-0.0966,0.0159,9,17,0.16863754391670227,-0.602,4.999750012499375e-05,2.1954191016721497e-14,0.84319,False,8
real_research7b,hybrid_gated,esn_cusum_max,0.0255,0.1282,0,18,7.62939453125e-06,0.158,4.999750012499375e-05,1.2387096985696923e-06,5e-05,True,8
real_research7b,hybrid_gated,delta_mahalanobis,-0.0353,0.0331,3,29,2.5560148060321808e-06,-0.444,4.999750012499375e-05,7.925217479176277e-14,2e-05,True,8
real_research7b,hybrid_logistic,esn_cusum_max,0.0187,0.134,15,10,0.42435622215270996,0.556,4.999750012499375e-05,6.168641511250605e-14,1.0,False,8
real_research7b,hybrid_logistic,delta_mahalanobis,-0.0098,0.0073,0,3,0.25,-0.047,0.015149242537873106,0.008152665635508488,1.0,False,8
real_research7b_long,hybrid_weighted50,esn_cusum_max,-0.2526,0.0356,0,2,0.5,-0.286,0.000199990000499975,0.00015624155203760717,1.0,False,8
real_research7b_long,hybrid_weighted50,delta_mahalanobis,0.013,0.078,20,2,0.00012111663818359375,2.077,4.999750012499375e-05,3.7852137228866343e-10,0.00061,True,8
real_research7b_long,hybrid_max,esn_cusum_max,-0.3087,0.0108,1,2,1.0,-1.132,4.999750012499375e-05,1.1293516294775253e-10,1.0,False,8
real_research7b_long,hybrid_max,delta_mahalanobis,-0.0,0.022,20,1,2.09808349609375e-05,1.231,4.999750012499375e-05,1.9362626190616856e-08,0.00015,True,8
real_research7b_long,hybrid_gated,esn_cusum_max,-0.3241,0.0349,2,4,0.6875,-1.198,4.999750012499375e-05,3.775686219809472e-10,1.0,False,8
real_research7b_long,hybrid_gated,delta_mahalanobis,-0.0657,0.0496,18,0,7.62939453125e-06,1.165,4.999750012499375e-05,4.7709075605570426e-06,6e-05,True,8
real_research7b_long,hybrid_logistic,esn_cusum_max,-0.2591,0.0421,0,1,1.0,0.088,0.29713514324283785,0.3766165583828144,1.0,False,8
real_research7b_long,hybrid_logistic,delta_mahalanobis,-0.0087,0.1076,21,2,6.604194641113281e-05,2.451,4.999750012499375e-05,1.1741988589607842e-10,0.0004,True,8
real_research3b,hybrid_weighted50,esn_cusum_max,-0.039,0.051,0,2,0.5,-0.022,1.0,0.31731050786291415,1.0,False,8
real_research3b,hybrid_weighted50,delta_mahalanobis,-0.4667,0.2528,12,4,0.076812744140625,0.565,0.0009499525023748813,0.0009414265619956542,0.46088,False,8
real_research3b,hybrid_max,esn_cusum_max,0.0,0.1333,0,0,1.0,0.0,1.0,1.0,1.0,False,8
real_research3b,hybrid_max,delta_mahalanobis,-0.441,0.3163,14,4,0.0308837890625,0.587,0.0004999750012499375,0.0005554164225787355,0.21619,False,8
real_research3b,hybrid_gated,esn_cusum_max,-0.1083,0.1021,4,2,0.6875,0.109,0.06254687265636719,0.025347318677468252,1.0,False,8
real_research3b,hybrid_gated,delta_mahalanobis,-0.4626,0.1934,12,0,0.00048828125,0.696,0.0004999750012499375,0.0005558649180046512,0.00391,True,8
real_research3b,hybrid_logistic,esn_cusum_max,-0.0785,0.2952,1,5,0.21875,-0.261,0.015949202539873007,0.008206476318626461,0.875,False,8
real_research3b,hybrid_logistic,delta_mahalanobis,-0.328,0.225,9,3,0.14599609375,0.326,0.015949202539873007,0.008212655390912923,0.72998,False,8
ollama_llama8b,hybrid_weighted50,esn_cusum_max,-0.001,0.0145,1,0,1.0,0.0,1.0,1.0,1.0,False,8
ollama_llama8b,hybrid_weighted50,delta_mahalanobis,-0.1707,0.1381,7,24,0.003326892852783203,-0.319,0.04104794760261987,7.485441396843597e-05,0.01663,True,8
ollama_llama8b,hybrid_max,esn_cusum_max,0.0,0.0043,0,0,1.0,0.0,1.0,1.0,1.0,False,8
ollama_llama8b,hybrid_max,delta_mahalanobis,-0.1744,0.1364,7,25,0.0021024015732109547,-0.319,0.04104794760261987,7.485441396843597e-05,0.01261,True,8
ollama_llama8b,hybrid_gated,esn_cusum_max,-0.0339,0.0236,0,2,0.5,0.129,9.99950002499875e-05,0.00010751117672950024,1.0,False,8
ollama_llama8b,hybrid_gated,delta_mahalanobis,-0.1823,0.1399,7,27,0.0008213953115046024,-0.19,0.24518774061296936,0.0034143894523051927,0.00575,True,8
ollama_llama8b,hybrid_logistic,esn_cusum_max,-0.0951,0.1865,25,1,8.046627044677734e-07,0.405,4.999750012499375e-05,3.6519814251079485e-07,1e-05,True,8
ollama_llama8b,hybrid_logistic,delta_mahalanobis,-0.0083,0.0787,8,2,0.109375,0.086,0.5834208289585521,0.33249205027211437,0.4375,False,8
real_gemini_long,hybrid_weighted50,esn_cusum_max,-0.0745,0.0709,0,1,1.0,-0.062,0.12384380780960952,0.0455002638963584,1.0,False,8
real_gemini_long,hybrid_weighted50,delta_mahalanobis,-0.1269,0.0873,20,2,0.00012111663818359375,2.0,4.999750012499375e-05,1.9228801732855007e-06,0.00073,True,8
real_gemini_long,hybrid_max,esn_cusum_max,-0.0178,0.0916,0,0,1.0,0.0,1.0,1.0,1.0,False,8
real_gemini_long,hybrid_max,delta_mahalanobis,-0.116,0.1474,21,2,6.604194641113281e-05,2.062,4.999750012499375e-05,7.20045497022136e-07,0.00046,True,8
real_gemini_long,hybrid_gated,esn_cusum_max,-0.0971,0.0571,2,1,1.0,0.246,0.0007499625018749063,0.0004566291841942482,1.0,False,8
real_gemini_long,hybrid_gated,delta_mahalanobis,-0.1598,0.0737,22,2,3.5881996154785156e-05,2.308,4.999750012499375e-05,4.437332466145905e-07,0.00029,True,8
real_gemini_long,hybrid_logistic,esn_cusum_max,-0.0703,0.0805,0,3,0.25,-0.246,9.99950002499875e-05,0.00010840307298666197,1.0,False,8
real_gemini_long,hybrid_logistic,delta_mahalanobis,-0.113,0.0885,18,2,0.0004024505615234375,1.815,4.999750012499375e-05,1.4317327837023654e-05,0.00201,True,8
