dataset,monitor,failure_class,detection_rate,median_delay,mean_lead_all
ollama7b,hybrid_gated,looping,1.0,0.0,2.9583333333333335
ollama7b,hybrid_gated,tool_cascade,1.0,0.0,2.2222222222222223
ollama7b,hybrid_gated,context_corruption,0.9545454545454546,0.0,2.0454545454545454
ollama7b,hybrid_logistic,goal_drift,0.0,,0.0
ollama7b,hybrid_logistic,looping,1.0,0.0,2.9583333333333335
ollama7b,hybrid_logistic,tool_cascade,1.0,0.0,2.2222222222222223
ollama7b,hybrid_logistic,context_corruption,0.045454545454545456,2.0,0.0
langgraph7b,esn_cusum_max,looping,0.48484848484848486,2.5,0.6060606060606061
langgraph7b,esn_cusum_max,tool_cascade,1.0,0.0,2.0833333333333335
langgraph7b,esn_cusum_max,context_corruption,0.17647058823529413,2.0,0.08823529411764706
langgraph7b,delta_mahalanobis,looping,1.0,0.0,2.484848484848485
langgraph7b,delta_mahalanobis,tool_cascade,1.0,0.0,2.375
langgraph7b,delta_mahalanobis,context_corruption,0.29411764705882354,2.0,0.17647058823529413
langgraph7b,hybrid_weighted50,looping,0.6666666666666666,2.0,1.0606060606060606
langgraph7b,hybrid_weighted50,tool_cascade,1.0,0.0,2.375
langgraph7b,hybrid_weighted50,context_corruption,0.14705882352941177,2.0,0.11764705882352941
langgraph7b,hybrid_max,looping,0.6666666666666666,2.0,1.0
langgraph7b,hybrid_max,tool_cascade,1.0,0.0,2.375
langgraph7b,hybrid_max,context_corruption,0.14705882352941177,2.0,0.11764705882352941
langgraph7b,hybrid_gated,looping,0.9696969696969697,2.0,1.121212121212121
langgraph7b,hybrid_gated,tool_cascade,1.0,0.0,2.375
langgraph7b,hybrid_gated,context_corruption,0.17647058823529413,2.0,0.11764705882352941
langgraph7b,hybrid_logistic,looping,1.0,1.0,2.212121212121212
langgraph7b,hybrid_logistic,tool_cascade,1.0,0.0,2.375
langgraph7b,hybrid_logistic,context_corruption,0.29411764705882354,2.0,0.17647058823529413
real_research7b,esn_cusum_max,goal_drift,0.045454545454545456,5.0,0.0
real_research7b,esn_cusum_max,looping,1.0,2.0,0.9545454545454546
real_research7b,esn_cusum_max,tool_cascade,0.5454545454545454,3.0,0.18181818181818182
real_research7b,esn_cusum_max,context_corruption,0.045454545454545456,3.0,0.0
real_research7b,esn_cusum_max,malformed_json,0.045454545454545456,3.0,0.09090909090909091
real_research7b,esn_cusum_max,rate_limit,0.7368421052631579,3.0,0.3157894736842105
real_research7b,esn_cusum_max,timeout,0.5,2.0,0.4
real_research7b,esn_cusum_max,wrong_document,0.13636363636363635,5.0,0.0
real_research7b,delta_mahalanobis,goal_drift,0.2727272727272727,2.0,0.5454545454545454
real_research7b,delta_mahalanobis,looping,1.0,0.0,2.9545454545454546
real_research7b,delta_mahalanobis,tool_cascade,0.6363636363636364,2.0,0.6363636363636364
real_research7b,delta_mahalanobis,context_corruption,0.0,,0.0
real_research7b,delta_mahalanobis,malformed_json,0.045454545454545456,3.0,0.09090909090909091
real_research7b,delta_mahalanobis,rate_limit,0.9473684210526315,1.0,1.6842105263157894
real_research7b,delta_mahalanobis,timeout,0.5,1.0,0.95
real_research7b,delta_mahalanobis,wrong_document,0.045454545454545456,4.0,0.0
real_research7b,hybrid_weighted50,goal_drift,0.045454545454545456,5.0,0.0
real_research7b,hybrid_weighted50,looping,1.0,2.0,0.9545454545454546
real_research7b,hybrid_weighted50,tool_cascade,0.5454545454545454,3.0,0.18181818181818182
real_research7b,hybrid_weighted50,context_corruption,0.045454545454545456,3.0,0.0
real_research7b,hybrid_weighted50,malformed_json,0.045454545454545456,3.0,0.09090909090909091
real_research7b,hybrid_weighted50,rate_limit,0.7368421052631579,3.0,0.3157894736842105
real_research7b,hybrid_weighted50,timeout,0.45,2.0,0.4
real_research7b,hybrid_weighted50,wrong_document,0.13636363636363635,5.0,0.0
real_research7b,hybrid_max,goal_drift,0.045454545454545456,5.0,0.0
real_research7b,hybrid_max,looping,1.0,2.0,0.9545454545454546
real_research7b,hybrid_max,tool_cascade,0.5454545454545454,3.0,0.18181818181818182
real_research7b,hybrid_max,context_corruption,0.045454545454545456,3.0,0.0
real_research7b,hybrid_max,malformed_json,0.045454545454545456,3.0,0.09090909090909091
real_research7b,hybrid_max,rate_limit,0.7368421052631579,3.0,0.3157894736842105
real_research7b,hybrid_max,timeout,0.5,2.0,0.4
real_research7b,hybrid_max,wrong_document,0.13636363636363635,5.0,0.0
real_research7b,hybrid_gated,goal_drift,0.0,,0.0
real_research7b,hybrid_gated,looping,1.0,1.0,1.8636363636363635
real_research7b,hybrid_gated,tool_cascade,0.18181818181818182,1.5,0.2727272727272727
real_research7b,hybrid_gated,context_corruption,0.0,,0.0
real_research7b,hybrid_gated,malformed_json,0.045454545454545456,3.0,0.09090909090909091
real_research7b,hybrid_gated,rate_limit,0.631578947368421,2.0,0.6842105263157895
real_research7b,hybrid_gated,timeout,0.25,2.0,0.3
real_research7b,hybrid_gated,wrong_document,0.09090909090909091,5.0,0.0
real_research7b,hybrid_logistic,goal_drift,0.2727272727272727,2.0,0.5454545454545454
real_research7b,hybrid_logistic,looping,1.0,0.0,2.9545454545454546
real_research7b,hybrid_logistic,tool_cascade,0.5454545454545454,2.0,0.5909090909090909
real_research7b,hybrid_logistic,context_corruption,0.0,,0.0
real_research7b,hybrid_logistic,malformed_json,0.045454545454545456,3.0,0.09090909090909091
real_research7b,hybrid_logistic,rate_limit,0.9473684210526315,1.5,1.4210526315789473
real_research7b,hybrid_logistic,timeout,0.45,1.0,0.85
real_research7b,hybrid_logistic,wrong_document,0.045454545454545456,4.0,0.0
real_research7b_long,esn_cusum_max,looping,1.0,1.0,7.0
real_research7b_long,esn_cusum_max,tool_cascade,1.0,0.0,6.461538461538462
real_research7b_long,esn_cusum_max,context_corruption,0.0,,0.0
real_research7b_long,esn_cusum_max,malformed_json,0.15384615384615385,4.5,0.5384615384615384
real_research7b_long,esn_cusum_max,rate_limit,0.8461538461538461,0.0,5.6923076923076925
real_research7b_long,esn_cusum_max,timeout,1.0,1.0,6.461538461538462
real_research7b_long,esn_cusum_max,wrong_document,0.0,,0.0
real_research7b_long,delta_mahalanobis,looping,0.9230769230769231,5.0,2.8461538461538463
real_research7b_long,delta_mahalanobis,tool_cascade,0.38461538461538464,3.0,1.6923076923076923
real_research7b_long,delta_mahalanobis,context_corruption,0.0,,0.0
real_research7b_long,delta_mahalanobis,malformed_json,0.0,,0.0
real_research7b_long,delta_mahalanobis,rate_limit,0.8461538461538461,2.0,3.8461538461538463
real_research7b_long,delta_mahalanobis,timeout,0.3076923076923077,3.5,1.2307692307692308
real_research7b_long,delta_mahalanobis,wrong_document,0.0,,0.0
real_research7b_long,hybrid_weighted50,looping,1.0,1.0,7.0
real_research7b_long,hybrid_weighted50,tool_cascade,1.0,1.0,5.923076923076923
real_research7b_long,hybrid_weighted50,context_corruption,0.0,,0.0
real_research7b_long,hybrid_weighted50,malformed_json,0.0,,0.0
real_research7b_long,hybrid_weighted50,rate_limit,0.8461538461538461,1.0,5.153846153846154
real_research7b_long,hybrid_weighted50,timeout,1.0,1.0,6.076923076923077
real_research7b_long,hybrid_weighted50,wrong_document,0.0,,0.0
real_research7b_long,hybrid_max,looping,1.0,3.0,5.153846153846154
real_research7b_long,hybrid_max,tool_cascade,1.0,2.0,4.230769230769231
real_research7b_long,hybrid_max,context_corruption,0.0,,0.0
real_research7b_long,hybrid_max,malformed_json,0.0,,0.0
real_research7b_long,hybrid_max,rate_limit,0.9230769230769231,2.5,4.153846153846154
real_research7b_long,hybrid_max,timeout,1.0,2.0,4.6923076923076925
real_research7b_long,hybrid_max,wrong_document,0.0,,0.0
real_research7b_long,hybrid_gated,looping,1.0,3.0,5.0
real_research7b_long,hybrid_gated,tool_cascade,1.0,2.0,4.384615384615385
real_research7b_long,hybrid_gated,context_corruption,0.0,,0.0
real_research7b_long,hybrid_gated,malformed_json,0.0,,0.0
real_research7b_long,hybrid_gated,rate_limit,0.8461538461538461,2.0,4.0
real_research7b_long,hybrid_gated,timeout,1.0,3.0,4.384615384615385
real_research7b_long,hybrid_gated,wrong_document,0.0,,0.0
real_research7b_long,hybrid_logistic,looping,1.0,1.0,7.461538461538462
real_research7b_long,hybrid_logistic,tool_cascade,1.0,0.0,6.461538461538462
real_research7b_long,hybrid_logistic,context_corruption,0.0,,0.0
real_research7b_long,hybrid_logistic,malformed_json,0.07692307692307693,1.0,0.5384615384615384
real_research7b_long,hybrid_logistic,rate_limit,0.8461538461538461,0.0,5.846153846153846
real_research7b_long,hybrid_logistic,timeout,1.0,0.0,6.461538461538462
real_research7b_long,hybrid_logistic,wrong_document,0.0,,0.0
real_research3b,esn_cusum_max,goal_drift,0.8,5.5,2.2
real_research3b,esn_cusum_max,looping,0.6666666666666666,4.5,1.3333333333333333
real_research3b,esn_cusum_max,tool_cascade,0.16666666666666666,3.0,0.0
real_research3b,esn_cusum_max,context_corruption,0.16666666666666666,6.0,0.3333333333333333
real_research3b,esn_cusum_max,malformed_json,0.5,5.0,0.8333333333333334
real_research3b,esn_cusum_max,rate_limit,0.16666666666666666,4.0,0.0
real_research3b,esn_cusum_max,timeout,0.16666666666666666,5.0,0.16666666666666666
real_research3b,esn_cusum_max,wrong_document,0.2,5.0,0.0
real_research3b,delta_mahalanobis,goal_drift,0.0,,0.0
real_research3b,delta_mahalanobis,looping,0.16666666666666666,3.0,0.0
real_research3b,delta_mahalanobis,tool_cascade,0.16666666666666666,3.0,0.0
real_research3b,delta_mahalanobis,context_corruption,0.16666666666666666,3.0,0.0
real_research3b,delta_mahalanobis,malformed_json,0.16666666666666666,4.0,0.0
real_research3b,delta_mahalanobis,rate_limit,0.0,,0.0
real_research3b,delta_mahalanobis,timeout,0.16666666666666666,4.0,0.0
real_research3b,delta_mahalanobis,wrong_document,0.2,5.0,0.0
real_research3b,hybrid_weighted50,goal_drift,0.8,5.5,2.2
real_research3b,hybrid_weighted50,looping,0.5,5.0,1.3333333333333333
real_research3b,hybrid_weighted50,tool_cascade,0.16666666666666666,3.0,0.0
real_research3b,hybrid_weighted50,context_corruption,0.16666666666666666,6.0,0.3333333333333333
real_research3b,hybrid_weighted50,malformed_json,0.5,5.0,0.8333333333333334
real_research3b,hybrid_weighted50,rate_limit,0.0,,0.0
real_research3b,hybrid_weighted50,timeout,0.16666666666666666,6.0,0.0
real_research3b,hybrid_weighted50,wrong_document,0.2,5.0,0.0
real_research3b,hybrid_max,goal_drift,0.8,5.5,2.2
real_research3b,hybrid_max,looping,0.6666666666666666,4.5,1.3333333333333333
real_research3b,hybrid_max,tool_cascade,0.16666666666666666,3.0,0.0
real_research3b,hybrid_max,context_corruption,0.16666666666666666,6.0,0.3333333333333333
real_research3b,hybrid_max,malformed_json,0.5,5.0,0.8333333333333334
real_research3b,hybrid_max,rate_limit,0.16666666666666666,4.0,0.0
real_research3b,hybrid_max,timeout,0.16666666666666666,5.0,0.16666666666666666
real_research3b,hybrid_max,wrong_document,0.2,5.0,0.0
real_research3b,hybrid_gated,goal_drift,0.8,5.0,2.6
real_research3b,hybrid_gated,looping,0.6666666666666666,4.0,1.6666666666666667
