arm,band,n,det_esn,det_maha,gap,sim_share,n_datasets,top_dataset,top_dataset_share
all,<=3,1027,0.2765,0.26,0.0166,0.0,11,aftraj,0.4615
all,4-8,655,0.3298,0.2351,0.0947,0.0443,13,aftraj,0.3725
all,>=9,483,0.7205,0.352,0.3685,0.7681,10,sim,0.7681
real,<=3,1027,0.2765,0.26,0.0166,0.0,11,aftraj,0.4615
real,4-8,626,0.3115,0.23,0.0815,0.0,12,aftraj,0.3898
real,>=9,112,0.5089,0.2589,0.25,0.0,9,aftraj,0.4732
sim,4-8,29,0.7241,0.3448,0.3793,1.0,1,sim,1.0
sim,>=9,371,0.7844,0.3801,0.4043,1.0,1,sim,1.0
