monitor,detection_rate,healthy_fa_rate,mean_lead_all,median_delay,episode_auc,det[looping],det[tool_cascade],det[context_corruption]
"esn_cusum_max[e,m]",0.4583333333333333,0.3333333333333333,0.625,1.0,0.6527777777777778,0.2,0.875,0.3333333333333333
esn_cusum[e],0.0,0.0,0.0,,0.638888888888889,0.0,0.0,0.0
self_drift,0.041666666666666664,0.16666666666666666,0.0,1.0,0.3194444444444445,0.0,0.125,0.0
linear_ar,0.3333333333333333,0.16666666666666666,0.0,2.0,0.7847222222222223,0.3,0.375,0.3333333333333333
gru,0.625,0.3333333333333333,0.5833333333333334,1.0,0.701388888888889,0.7,0.75,0.3333333333333333
lstm,0.25,0.16666666666666666,0.08333333333333333,0.5,0.5590277777777778,0.4,0.125,0.16666666666666666
delta_mahalanobis,0.16666666666666666,0.0,0.0,2.5,0.6111111111111112,0.0,0.375,0.16666666666666666
mahalanobis,0.20833333333333334,0.0,0.375,1.0,0.6875000000000001,0.1,0.5,0.0
iforest,0.20833333333333334,0.16666666666666666,0.0,1.0,0.47222222222222227,0.2,0.125,0.3333333333333333
