monitor,detection_rate,healthy_fa_rate,mean_lead_all,median_delay,episode_auc,det[looping],det[tool_cascade],det[context_corruption],det[malformed_json],det[rate_limit],det[timeout],det[wrong_document]
"esn_cusum_max[e,u,m]",0.24675324675324675,0.041666666666666664,0.025974025974025976,3.0,0.6969696969696969,0.9090909090909091,0.13636363636363635,0.0,0.13636363636363635,0.3181818181818182,0.18181818181818182,0.045454545454545456
"esn_cusum_max[e,u,m,x]",0.3246753246753247,0.041666666666666664,0.18831168831168832,3.0,0.7754329004329006,0.9090909090909091,0.36363636363636365,0.0,0.13636363636363635,0.5909090909090909,0.22727272727272727,0.045454545454545456
esn_cusum[x],0.474025974025974,0.08333333333333333,0.5909090909090909,1.0,0.7426948051948051,0.13636363636363635,0.9545454545454546,0.045454545454545456,0.13636363636363635,0.8636363636363636,0.8636363636363636,0.3181818181818182
delta_mahalanobis,0.43506493506493504,0.041666666666666664,0.8766233766233766,1.0,0.8387445887445888,1.0,0.6818181818181818,0.0,0.045454545454545456,0.8181818181818182,0.45454545454545453,0.045454545454545456
