dataset,monitor,healthy_len_score_spearman,raw_auroc,length_matched_auroc,n_healthy,n_injected,n_matched
sim,esn_cusum_max,0.34631053139902607,0.885375,0.7337869822485207,160,400,260
sim,delta_mahalanobis,0.17064266727918653,0.747984375,0.6073372781065088,160,400,260
sim,hybrid_logistic,0.2945501243842605,0.865515625,0.7084023668639052,160,400,260
gemini,esn_cusum_max,0.18480463200335334,0.7468354430379747,0.7377777777777778,15,79,30
gemini,delta_mahalanobis,-0.15924654459863427,0.7679324894514767,0.7866666666666667,15,79,30
gemini,hybrid_logistic,0.11599439668295584,0.7392405063291139,0.7511111111111111,15,79,30
autogen7b,esn_cusum_max,0.6534877683210266,0.818655303030303,1.0,12,88,24
autogen7b,delta_mahalanobis,0.6477502756312958,0.8077651515151516,1.0,12,88,24
autogen7b,hybrid_logistic,0.5182002205050366,0.8134469696969697,1.0,12,88,24
ollama7b,esn_cusum_max,-0.018490006540840973,0.9932773109243698,1.0,14,85,28
ollama7b,delta_mahalanobis,0.018490006540840973,0.8966386554621849,1.0,14,85,28
ollama7b,hybrid_logistic,-0.1294300457858868,0.9949579831932773,1.0,14,85,28
langgraph7b,esn_cusum_max,0.4805559209824334,0.8252223966509681,0.8798185941043084,21,91,42
langgraph7b,delta_mahalanobis,-0.08480398605572353,0.8958660387231817,0.9863945578231292,21,91,42
langgraph7b,hybrid_logistic,0.013046767085495927,0.8670852956567243,0.9795918367346939,21,91,42
real_research7b,esn_cusum_max,0.08846517369293827,0.7575536062378168,0.9965277777777777,24,171,48
real_research7b,delta_mahalanobis,0.5897678246195884,0.8491715399610136,0.9965277777777778,24,171,48
real_research7b,hybrid_logistic,0.5750236290040988,0.8442982456140351,0.9965277777777778,24,171,48
real_research7b_long,esn_cusum_max,0.39279220242478635,0.7579365079365079,1.0,6,42,12
real_research7b_long,delta_mahalanobis,0.39279220242478635,0.8492063492063492,1.0,6,42,12
real_research7b_long,hybrid_logistic,0.6546536707079772,0.8095238095238095,1.0,6,42,12
real_research3b,esn_cusum_max,0.3555285645684319,0.5776397515527951,0.7551020408163266,7,46,14
real_research3b,delta_mahalanobis,-0.8046172777075037,0.6645962732919255,0.653061224489796,7,46,14
real_research3b,hybrid_logistic,-0.018712029714127994,0.6242236024844721,0.7755102040816326,7,46,14
