dataset,episode_id,failure_class,T,tau,horizon,det_esn,det_maha,det_logistic
real_research7b_long_drift,real-goal_drift-081,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-082,goal_drift,4,2,1,False,False,False
real_research7b_long_drift,real-goal_drift-083,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-084,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-085,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-086,goal_drift,12,2,9,False,False,False
real_research7b_long_drift,real-goal_drift-087,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-088,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-089,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-090,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-091,goal_drift,12,2,9,False,False,False
real_research7b_long_drift,real-goal_drift-092,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-093,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-094,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-095,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-096,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-097,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-098,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-099,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-100,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-101,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-102,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-103,goal_drift,12,2,9,False,False,False
real_research7b_long_drift,real-goal_drift-104,goal_drift,12,2,9,False,False,False
real_research7b_long_drift,real-goal_drift-105,goal_drift,12,2,9,False,False,False
real_research7b_long_drift,real-goal_drift-106,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-107,goal_drift,12,2,9,False,False,False
real_research7b_long_drift,real-goal_drift-108,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-109,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-110,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-111,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-112,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-113,goal_drift,12,2,9,False,False,False
real_research7b_long_drift,real-goal_drift-114,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-115,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-116,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-117,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-118,goal_drift,11,2,8,False,False,False
real_research7b_long_drift,real-goal_drift-119,goal_drift,11,2,8,False,False,False
