dataset,episode_id,is_healthy,failure_class,T,tau,horizon,z_esn_at_alarm,z_maha_at_alarm,z_esn_max,z_maha_max,logit_max,theta_logistic,coef_esn,coef_maha,intercept,outcome_esn,outcome_maha,outcome_logistic
real_research7b_long_drift,real-healthy-083,True,,11,,,-0.6744907594765952,1.9152127812911586,3.215014226121639,1.9152127812911586,0.42449323723386545,21.897879494556975,0.04872719789728115,0.7862056953881617,-1.0430172398627533,correct_silence,correct_silence,correct_silence
real_research7b_long_drift,real-healthy-064,True,,11,,,1.628435594384192,1.2411921595164797,1.628435594384192,1.2411921595164797,0.02084384202032563,21.897879494556975,0.04872719789728115,0.7862056953881617,-1.0430172398627533,correct_silence,correct_silence,correct_silence
real_research7b_long_drift,real-healthy-072,True,,11,,,50.0,2.839862631701593,50.0,2.839862631701593,3.820710914253159,21.897879494556975,0.04872719789728115,0.7862056953881617,-1.0430172398627533,correct_silence,correct_silence,correct_silence
real_research7b_long_drift,real-healthy-068,True,,12,,,50.0,20.302580753783595,50.0,20.302580753783595,16.60816141317584,21.897879494556975,0.04872719789728115,0.7862056953881617,-1.0430172398627533,correct_silence,correct_silence,correct_silence
real_research7b_long_drift,real-healthy-052,True,,12,,,20.41970523473969,4.209049324592265,20.41970523473969,4.209049324592265,3.4057213647351197,21.897879494556975,0.04872719789728115,0.7862056953881617,-1.0430172398627533,correct_silence,correct_silence,correct_silence
real_research7b_long_drift,real-healthy-081,True,,11,,,-0.6744907594765952,2.394428290992203,13.294365683614961,2.394428290992203,0.827167295510211,21.897879494556975,0.04872719789728115,0.7862056953881617,-1.0430172398627533,correct_silence,correct_silence,correct_silence
real_research7b_long_drift,real-healthy-085,True,,11,,,2.876118130486043,2.0999582449934855,12.136267534945357,2.0999582449934855,0.7705594063646004,21.897879494556975,0.04872719789728115,0.7862056953881617,-1.0430172398627533,correct_silence,correct_silence,correct_silence
real_research7b_long_drift,real-healthy-056,True,,11,,,6.198595425094491,1.3698746177489016,6.198595425094491,1.692509854202063,0.34584987999896466,21.897879494556975,0.04872719789728115,0.7862056953881617,-1.0430172398627533,correct_silence,correct_silence,correct_silence
real_research7b_long_drift,real-healthy-040,True,,15,,,50.0,29.149854968078113,50.0,29.149854968078113,23.28400425615754,21.897879494556975,0.04872719789728115,0.7862056953881617,-1.0430172398627533,false_alarm,false_alarm,false_alarm
real_research7b_long_drift,real-healthy-114,True,,11,,,-0.19027103074686183,1.8532910219266059,1.0768230057774935,1.8532910219266059,0.4097238428397372,21.897879494556975,0.04872719789728115,0.7862056953881617,-1.0430172398627533,correct_silence,correct_silence,correct_silence
