stream,calibrator,bin_center,mean_confidence,empirical_freq,count
fused,isotonic,0.05,0.0,0.0,1
fused,isotonic,0.15,0.15756516130522413,0.5,2
fused,isotonic,0.25,0.22987462173263895,0.5,2
fused,isotonic,0.35,0.38165473367717856,0.3772455089820359,167
fused,isotonic,0.45,0.46430172967610567,0.453125,64
fused,isotonic,0.65,0.6272793876159816,0.5925925925925926,27
fused,isotonic,0.75,0.7684842966061511,1.0,1
fused,isotonic,0.85,0.8772946859903384,0.9565217391304348,23
fused,isotonic,0.95,0.9845353951814197,0.978021978021978,273
surprise,isotonic,0.35,0.3841755728548172,0.38461538461538464,143
surprise,isotonic,0.45,0.442458001377006,0.0,1
surprise,isotonic,0.55,0.5210607749296616,0.5275590551181102,127
surprise,isotonic,0.65,0.6563592507359629,0.5,6
surprise,isotonic,0.85,0.8753641680269091,1.0,1
surprise,isotonic,0.95,0.9903860888641116,0.9716312056737588,282
disagreement,isotonic,0.05,0.08623900392921983,0.0,1
disagreement,isotonic,0.15,0.1609124334011285,1.0,1
disagreement,isotonic,0.25,0.2020784760999001,0.0,1
disagreement,isotonic,0.35,0.3055579869601504,0.3888888888888889,36
disagreement,isotonic,0.45,0.45283018867924474,0.46,150
disagreement,isotonic,0.55,0.5085287846481878,0.4925373134328358,67
disagreement,isotonic,0.65,0.614596298942022,0.6458333333333334,48
disagreement,isotonic,0.75,0.7774603973616473,0.9354838709677419,31
disagreement,isotonic,0.85,0.8222322506270626,1.0,1
disagreement,isotonic,0.95,0.994271497512439,0.9910714285714286,224
