monitor,theta,detection_rate,healthy_fa_rate,early_alarm_rate,median_delay,median_delay_ci_lo,median_delay_ci_hi,median_lead,median_lead_ci_lo,median_lead_ci_hi,mean_lead_all,mean_lead_all_ci_lo,mean_lead_all_ci_hi,mean_budget_saved,mean_budget_saved_all,episode_auc
esn_full,6.134259270706702,0.54,0.075,0.02,4.0,3.0,4.0,9.0,9.0,10.0,4.8875,4.372375,5.3975,0.26472204890791345,0.14294990641027325,0.78928125
esn_single,5.9141872587983055,0.505,0.08125,0.0225,3.0,3.0,4.0,9.0,9.0,10.0,4.6425,4.139937499999999,5.1576249999999995,0.26571323867532637,0.13418518553103984,0.771390625
esn[e],3.281901963854552,0.5925,0.05,0.0225,3.0,3.0,3.0,11.0,10.0,11.0,6.3425,5.7324375,6.9325,0.310643403993971,0.1840562168664278,0.781859375
esn[u],4.817223843850462,0.35,0.04375,0.0325,5.0,4.0,7.0,8.0,7.0,8.0,2.5975,2.2075,2.9976249999999998,0.21891068038029282,0.07661873813310248,0.6705468749999999
esn[m],12.926901238679992,0.2425,0.1125,0.025,3.0,3.0,3.0,10.0,9.0,11.0,2.4375,2.0024375,2.9028124999999996,0.2955518640520851,0.07167132703263064,0.6108359375000001
"esn[e,u]",3.142692375632048,0.6475,0.0875,0.0325,3.0,3.0,3.0249999999999773,10.0,10.0,11.0,6.7425,6.1749374999999995,7.315,0.3043785714819914,0.19708512503458941,0.8472187500000001
esn_cusum,25.164128767150004,0.67,0.0625,0.02,4.0,4.0,5.0,9.0,9.0,10.0,5.9875,5.474875,6.4875,0.2589758446358723,0.17351381590603443,0.834046875
esn_cusum[e],20.782750907219913,0.6075,0.05,0.0175,4.0,4.0,4.0,10.0,9.0,10.0,5.81,5.2724375,6.335,0.27706540165273086,0.168317231504034,0.7834687499999999
esn_cusum[u],30.995932650451287,0.385,0.04375,0.0025,7.0,6.0,8.0,7.0,6.0,8.0,2.71,2.3125,3.0825625,0.19749484811547638,0.0760355165244584,0.6662656250000001
esn_cusum[m],65.17278120268139,0.3425,0.0375,0.0075,5.0,5.0,7.0,8.0,7.0,9.0,2.4375,2.0373750000000004,2.845,0.20442417878250116,0.07001528123300664,0.6697187500000001
"esn_cusum[e,u]",19.468596665306958,0.69,0.04375,0.0125,4.0,4.0,5.0,9.0,9.0,10.0,6.2825,5.752375000000001,6.817625,0.2658708300402225,0.1834508727277535,0.8550781249999999
esn_cusum_max,68.56398356162155,0.6025,0.025,0.005,9.0,8.0,10.0,6.0,5.0,6.0,3.4675,3.07,3.8678125,0.16590041431065333,0.09995499962216864,0.8686875000000001
linear_ar,26.611737247602274,0.615,0.05625,0.0225,4.0,3.0,4.0,10.0,9.0,11.0,6.1,5.549875,6.632625,0.29018421470845923,0.17846329204570238,0.8083750000000001
gru,24.822046999386416,0.62,0.075,0.02,5.0,4.0,5.5,9.0,8.0,9.0,5.2325,4.745,5.7025625,0.24381880727889124,0.15116766051291258,0.8144531250000001
tcn,37.771395944596144,0.39,0.05625,0.0175,6.0,5.0,7.0,6.0,6.0,8.0,2.5925,2.2074375,2.9875624999999997,0.19459026042912214,0.07589020156735765,0.729578125
lstm,26.718119257667283,0.6025,0.03125,0.01,5.0,5.0,6.0,8.0,8.0,9.0,4.97,4.4848125,5.445062500000001,0.2371319662895078,0.14287200968942845,0.8101250000000001
cosine_drift,1.1260068526128348,0.1475,0.0625,0.0275,8.0,7.0,10.0,6.0,5.0,8.0,0.925,0.6575,1.2025,0.1762499657910656,0.025996869954182183,0.520265625
self_drift,0.7391431396549072,0.2325,0.08125,0.025,7.0,6.0,8.0,7.0,6.0,8.0,1.695,1.3425,2.085,0.20090494058565625,0.04671039868616508,0.538328125
rolling_surprisal,2.562219827532262,0.0075,0.05,0.06,5.0,2.0,17.0,3.0,0.0,7.0,0.025,0.0,0.06756249999999994,0.12070707070707071,0.0009053030303030303,0.546234375
mahalanobis,14.107884848384781,0.2375,0.0375,0.015,3.0,3.0,4.0,9.0,8.0,10.0,2.13,1.7323125000000001,2.5677499999999998,0.2617014688758166,0.062154098858006455,0.679875
delta_mahalanobis,16.405646256677596,0.34,0.03125,0.0275,3.0,2.5,3.0,10.0,9.0,10.0,3.1625,2.6749375,3.6525,0.27149456150141765,0.092308150910482,0.7277031250000001
iforest,0.005543337404679605,0.16,0.075,0.06,5.5,4.0,7.5,7.5,6.0,8.0,1.1425,0.8775,1.4475,0.21827357772222422,0.034923772435555875,0.6832968749999999
