policy,params,conf_threshold,mean_cost,mean_judge_calls,detection_rate,mean_lead,wrongful_halt_rate,cost_ratio_vs_judge,judge_call_ratio,selected_on_cal
never,theta_soft=49.9890,,38.09642857142857,0.0,0.0,,0.0,0.6577868220639471,0.0,False
judge_every_step,theta_soft=49.9890,,57.91607142857143,28.873214285714287,0.9925,12.770780856423174,0.007142857142857143,1.0,1.0,False
halt_on_alarm,theta_soft=49.9890,,34.55,0.0,0.7375,6.7322033898305085,0.039285714285714285,0.5965528936576943,0.0,False
escalate_on_alarm,theta_soft=49.9890,,36.47857142857143,1.2392857142857143,0.66,6.0606060606060606,0.0,0.6298523109178923,0.04292164017564475,False
escalate_on_alarm,"theta_soft=49.9890, conf_threshold=0.5",0.5,35.11607142857143,2.907142857142857,0.875,9.42,0.0017857142857142857,0.6063268892794377,0.10068649885583524,False
escalate_on_alarm,"theta_soft=49.9890, conf_threshold=0.7",0.7,35.996428571428574,2.2017857142857142,0.785,7.671974522292993,0.0,0.6215274566028428,0.07625703506710371,True
escalate_on_alarm,"theta_soft=49.9890, conf_threshold=0.8",0.8,35.926785714285714,1.8178571428571428,0.755,7.394039735099338,0.0,0.6203249776462245,0.06295998515678149,False
escalate_on_alarm,"theta_soft=49.9890, conf_threshold=0.9",0.9,36.621428571428574,1.292857142857143,0.665,5.827067669172933,0.0,0.6323189344186477,0.04477704248871297,False
escalate_on_alarm,"theta_soft=49.9890, conf_threshold=0.95",0.95,37.260714285714286,0.9535714285714286,0.51,4.911764705882353,0.0,0.6433570745845281,0.03302616117261426,False
escalate_on_alarm,"theta_soft=49.9890, conf_threshold=0.99",0.99,37.64642857142857,0.6321428571428571,0.35,4.328571428571428,0.0,0.6500169580365677,0.021893747294204957,False
