primary,other,mean_lead_all_diff,perm_p_value,wilcoxon_p_value,det_primary_only,det_other_only,mcnemar_p_value
esn_cusum_max,rolling_surprisal,4.475,4.999750012499375e-05,8.488517802787277e-57,289,0,2.010764683385949e-87
esn_cusum_max,cosine_drift,4.37,4.999750012499375e-05,6.703010223989554e-54,285,3,1.601193231485875e-80
esn_cusum_max,iforest,3.43,4.999750012499375e-05,4.258513889823122e-35,224,3,1.807963517204967e-62
esn_cusum_max,self_drift,3.32,4.999750012499375e-05,3.4813684480854706e-31,251,34,4.722273093639463e-42
esn_cusum_max,mahalanobis,2.38,4.999750012499375e-05,1.1544893232776358e-28,191,2,2.982586676022177e-54
esn_cusum_max,esn[m],2.31,4.999750012499375e-05,2.06362259936631e-29,196,1,1.9714512400264097e-57
esn_cusum_max,esn_cusum[u],2.0,4.999750012499375e-05,8.029122278012955e-09,152,11,7.053599826706935e-33
esn_cusum_max,esn[u],1.9675,4.999750012499375e-05,6.237247211254541e-09,161,11,2.5238215971982573e-35
esn_cusum_max,tcn,1.88,4.999750012499375e-05,2.977325117841659e-29,138,3,3.352870916839435e-37
esn_cusum_max,esn_cusum[m],1.8675,4.999750012499375e-05,1.544893740816063e-34,130,1,9.697828394283872e-38
esn_cusum_max,delta_mahalanobis,1.085,4.999750012499375e-05,4.82120927216046e-07,147,4,1.4983753071938456e-38
esn_cusum_max,esn_single,0.19,0.30348482575871205,0.8936518539242642,99,6,8.435279808627725e-23
esn_cusum_max,esn_full,-0.0075,0.9768511574421279,0.06300879322202499,88,7,6.048586330822969e-19
esn_cusum_max,lstm,-0.1175,0.4910754462276886,0.006358298045835491,76,11,4.211350509515077e-13
esn_cusum_max,gru,-0.2875,0.08204589770511475,0.0002724344830156169,73,16,7.237363065075456e-10
esn_cusum_max,"esn_cusum[e,u]",-1.0175,4.999750012499375e-05,8.220717225121153e-08,57,25,0.0005347214913281793
esn_cusum_max,esn_cusum[e],-1.0375,4.999750012499375e-05,3.37512691552942e-07,74,26,1.6673626494501009e-06
esn_cusum_max,esn_cusum,-1.075,4.999750012499375e-05,6.245611897839274e-12,56,25,0.000752126064634077
esn_cusum_max,linear_ar,-1.2275,4.999750012499375e-05,1.3177951234252845e-12,73,23,3.1102323718136e-07
esn_cusum_max,esn[e],-1.3525,4.999750012499375e-05,8.062987483391306e-10,81,24,2.0779877274240742e-08
esn_cusum_max,"esn[e,u]",-1.6325,4.999750012499375e-05,7.206274120544031e-14,65,24,1.6113849200564983e-05
