stream,calibrator,bin_center,mean_confidence,empirical_freq,count
fused,isotonic,0.35,0.3450486887327105,0.35428571428571426,175
fused,isotonic,0.45,0.45085021225680194,0.4852941176470588,68
fused,isotonic,0.65,0.6666666666666666,0.6,5
fused,isotonic,0.75,0.7777777777777778,0.7272727272727273,11
fused,isotonic,0.95,0.9744871209788408,0.9767441860465116,301
surprise,isotonic,0.15,0.125,0.0,2
surprise,isotonic,0.25,0.2857142857142857,0.0,5
surprise,isotonic,0.35,0.3440860215053761,0.37857142857142856,140
surprise,isotonic,0.45,0.47936475004730256,0.47368421052631576,19
surprise,isotonic,0.55,0.5277288176111967,0.5555555555555556,9
surprise,isotonic,0.65,0.6325717573518541,0.5740740740740741,108
surprise,isotonic,0.75,0.7294304802140196,0.5,2
surprise,isotonic,0.95,0.9705078630855563,0.9818181818181818,275
disagreement,isotonic,0.35,0.3333333333333332,0.6,25
disagreement,isotonic,0.45,0.4350282485875709,0.4396551724137931,232
disagreement,isotonic,0.75,0.7909832937348268,0.6458333333333334,48
disagreement,isotonic,0.85,0.8719383429555327,1.0,1
disagreement,isotonic,0.95,1.0,0.9881889763779528,254
