monitor,theta,detection_rate,healthy_fa_rate,early_alarm_rate,median_delay,median_delay_ci_lo,median_delay_ci_hi,median_lead,median_lead_ci_lo,median_lead_ci_hi,mean_lead_all,mean_lead_all_ci_lo,mean_lead_all_ci_hi,mean_budget_saved,mean_budget_saved_all,episode_auc
esn_full,5.674277575168096,0.52,0.05,0.02,4.0,3.0,4.0,9.0,8.0,9.0,4.4825,3.96475,5.01,0.25504810139529066,0.13262501272555116,0.79715625
esn_single,5.687982232561234,0.49,0.03125,0.025,4.0,3.0,4.0,9.0,8.0,9.5,4.285,3.7774375,4.837562500000001,0.26018698446932187,0.12749162238996772,0.7729531249999999
esn[e],3.514889119743759,0.58,0.04375,0.0225,3.0,3.0,4.0,10.0,10.0,11.0,5.8275,5.2848125,6.365,0.297490762384859,0.17254464218321822,0.7823437499999999
esn[u],4.567007073081602,0.3475,0.03125,0.06,6.0,5.0,7.0,7.0,7.0,8.0,2.5075,2.1474375,2.8675625,0.2180191397514553,0.0757616510636307,0.6868749999999999
esn[m],13.66881207722483,0.235,0.025,0.02,3.0,2.0,4.0,9.0,8.0,10.0,2.165,1.7649375,2.6050625,0.27737359673661,0.06518279523310336,0.6577421875
"esn[e,u]",3.3333832362984213,0.62,0.05625,0.025,3.0,3.0,4.0,10.0,10.0,11.0,6.1075,5.582375,6.64,0.29097477780785475,0.18040436224086992,0.845421875
esn_cusum,24.177536592603936,0.645,0.025,0.01,5.0,4.0,5.0,9.0,8.0,9.0,5.55,5.079625,6.0575,0.2519415536387616,0.1625023020970012,0.842984375
esn_cusum[e],22.059407624222356,0.6025,0.0625,0.0125,4.0,4.0,5.0,9.0,9.0,10.0,5.5125,5.0123750000000005,6.007562500000001,0.2688243758090624,0.16196668642496004,0.784078125
esn_cusum[u],30.40343270953476,0.37,0.025,0.0125,7.0,6.0,8.0,7.0,6.0,7.0,2.475,2.1299375,2.8425,0.19573624637068493,0.07242241115715344,0.6761874999999999
esn_cusum[m],50.571597879347344,0.4,0.03125,0.0125,7.0,5.5,8.0,7.0,5.0,7.0,2.6075,2.2249375000000002,3.0250624999999998,0.19225143680607162,0.07690057472242864,0.698890625
"esn_cusum[e,u]",21.108662044601882,0.6425,0.03125,0.015,5.0,4.0,5.0,9.0,8.0,9.0,5.4925,5.0,5.9700625,0.2514799136907043,0.16157584454627752,0.8585
esn_cusum_max,50.61597557952037,0.7225,0.04375,0.015,8.0,7.0,8.0,6.0,5.0,6.0,4.475,4.0923125,4.875437499999999,0.18067430376560797,0.13053718447065177,0.8814843750000001
linear_ar,26.247267401098142,0.5975,0.025,0.0225,4.0,4.0,4.0,10.0,9.0,10.0,5.7025,5.1848125,6.205125,0.282037339617513,0.16851731042146403,0.81240625
gru,25.707141414513405,0.58,0.0625,0.02,5.0,4.0,6.0,8.0,8.0,9.0,4.7625,4.287375,5.2379999999999995,0.2427854355184741,0.14081555260071496,0.8098125
tcn,30.66044078284554,0.385,0.05625,0.01,6.0,5.0,7.0,7.0,6.0,8.0,2.595,2.2099375,2.9975,0.20322103296651908,0.07824009769210986,0.723203125
lstm,23.495366616246812,0.56,0.05625,0.03,5.0,4.0,6.0,8.0,8.0,9.0,4.5925,4.1223125,5.05,0.24301959677989618,0.13609097419674185,0.81759375
cosine_drift,1.261246452718611,0.0175,0.0,0.0025,12.0,5.0,13.0,5.0,4.0,9.0,0.105,0.0275,0.2025,0.18183072296108108,0.0031820376518189187,0.526921875
self_drift,0.7588032603733513,0.18,0.0625,0.02,8.0,7.0,9.0,7.0,5.0,8.0,1.155,0.9049375000000001,1.465125,0.17555160510518128,0.03159928891893263,0.566765625
rolling_surprisal,3.338881773946194,0.0,0.0125,0.02,,,,,,,0.0,0.0,0.0,,0.0,0.561390625
mahalanobis,13.736197588449826,0.25,0.04375,0.01,3.0,3.0,5.0,8.0,8.0,9.5,2.095,1.7074375000000002,2.5253124999999996,0.2549959041116725,0.06374897602791813,0.68540625
delta_mahalanobis,16.05633008547957,0.365,0.0375,0.02,3.0,2.4875000000000114,3.0,9.0,8.0,10.0,3.39,2.9323750000000004,3.9050624999999997,0.278211925396343,0.1015473527696652,0.747984375
iforest,0.000971796495571775,0.17,0.025,0.05,6.0,4.0,7.5,6.5,5.0,7.0,1.045,0.7875,1.3075,0.18733023000448978,0.03184613910076327,0.7025
