monitor,quantile,theta,healthy_fa_rate,detection_rate,median_delay,median_lead
esn_full,0.5,2.090783661363936,0.50625,0.5625,3.0,10.0
esn_full,0.5207916666666667,2.120835499167041,0.5,0.565,3.0,11.0
esn_full,0.5415833333333333,2.1758339890560485,0.46875,0.5775,3.0,11.0
esn_full,0.562375,2.206613612579852,0.46875,0.5725,3.0,11.0
esn_full,0.5831666666666666,2.2941766259684546,0.4375,0.575,3.0,11.0
esn_full,0.6039583333333334,2.332319355065235,0.43125,0.58,3.0,10.5
esn_full,0.62475,2.4688455054759,0.40625,0.585,3.0,10.5
esn_full,0.6455416666666667,2.54553895846111,0.4,0.59,3.0,10.5
esn_full,0.6663333333333333,2.6002834850997996,0.36875,0.6,3.0,10.0
esn_full,0.687125,3.0386726263857504,0.33125,0.6,3.0,10.0
esn_full,0.7079166666666666,3.6845751810641474,0.2875,0.575,3.0,10.0
esn_full,0.7287083333333333,4.33846060102331,0.2375,0.56,3.0,10.0
esn_full,0.7495,4.523154328727849,0.23125,0.5625,4.0,9.0
esn_full,0.7702916666666666,4.564324563049253,0.23125,0.565,4.0,9.0
esn_full,0.7910833333333334,4.669329996103805,0.20625,0.5575,4.0,10.0
esn_full,0.811875,5.026559887637489,0.14375,0.5575,4.0,9.0
esn_full,0.8326666666666667,5.117434828681925,0.13125,0.5475,4.0,9.0
esn_full,0.8534583333333333,5.171483447936064,0.125,0.5475,4.0,9.0
esn_full,0.87425,5.345710473728369,0.09375,0.5375,4.0,9.0
esn_full,0.8950416666666667,5.395015396068436,0.08125,0.5325,4.0,9.0
esn_full,0.9158333333333333,5.446996218807067,0.06875,0.5275,4.0,9.0
esn_full,0.936625,5.659884044608967,0.05,0.52,4.0,9.0
esn_full,0.9574166666666667,5.674277575168096,0.05,0.52,4.0,9.0
esn_full,0.9782083333333333,5.7982604106211495,0.04375,0.5125,4.0,9.0
esn_full,0.999,6.298829559728068,0.01875,0.47,4.0,8.0
esn_single,0.5,1.9500876437746253,0.51875,0.5,3.0,11.0
esn_single,0.5207916666666667,1.9859655204847395,0.5,0.505,3.0,11.0
esn_single,0.5415833333333333,2.0208092687575734,0.49375,0.51,3.0,11.0
esn_single,0.562375,2.104868656253617,0.48125,0.5275,3.0,11.0
