policy,params,conf_threshold,mean_cost,mean_judge_calls,detection_rate,mean_lead,wrongful_halt_rate,cost_ratio_vs_judge,judge_call_ratio,selected_on_cal
never,theta_soft=42.3405,,37.61964285714286,0.0,0.0,,0.0,0.6548444251033539,0.0,False
judge_every_step,theta_soft=42.3405,,57.448214285714286,28.660714285714285,0.995,12.42713567839196,0.005357142857142857,1.0,1.0,False
halt_on_alarm,theta_soft=42.3405,,33.85892857142857,0.0,0.75,7.02,0.0625,0.5893817413198222,0.0,False
escalate_on_alarm,theta_soft=42.3405,,35.925,1.4053571428571427,0.7125,6.091228070175439,0.0,0.6253458083367007,0.049034267912772586,False
escalate_on_alarm,"theta_soft=42.3405, conf_threshold=0.5",0.5,34.769642857142856,2.648214285714286,0.86,8.950581395348838,0.0,0.6052345279910478,0.092398753894081,True
escalate_on_alarm,"theta_soft=42.3405, conf_threshold=0.7",0.7,35.46071428571429,2.0660714285714286,0.7825,7.559105431309904,0.0017857142857142857,0.6172639955239191,0.07208722741433023,False
escalate_on_alarm,"theta_soft=42.3405, conf_threshold=0.8",0.8,35.65357142857143,1.707142857142857,0.7475,6.879598662207358,0.0,0.6206210562307669,0.05956386292834891,False
escalate_on_alarm,"theta_soft=42.3405, conf_threshold=0.9",0.9,35.926785714285714,1.4339285714285714,0.7175,6.101045296167247,0.0,0.6253768922321346,0.05003115264797508,False
escalate_on_alarm,"theta_soft=42.3405, conf_threshold=0.95",0.95,36.3375,1.1732142857142858,0.64,5.37109375,0.0,0.632526188181903,0.04093457943925234,False
escalate_on_alarm,"theta_soft=42.3405, conf_threshold=0.99",0.99,37.24107142857143,0.6089285714285714,0.3325,4.157894736842105,0.0,0.6482546392713935,0.021246105919003114,False
