policy,params,conf_threshold,mean_cost,mean_judge_calls,detection_rate,mean_lead,wrongful_halt_rate,cost_ratio_vs_judge,judge_call_ratio,selected_on_cal
never,theta_soft=42.9340,,38.230357142857144,0.0,0.0,,0.0,0.655611698055428,0.0,False
judge_every_step,theta_soft=42.9340,,58.3125,29.1,0.9975,12.656641604010025,0.0035714285714285713,1.0,1.0,False
halt_on_alarm,theta_soft=42.9340,,34.21964285714286,0.0,0.7425,7.562289562289562,0.06964285714285715,0.5868320318481091,0.0,False
escalate_on_alarm,theta_soft=42.9340,,36.535714285714285,1.5160714285714285,0.7075,6.353356890459364,0.0,0.6265502985760221,0.05209867452135493,False
escalate_on_alarm,"theta_soft=42.9340, conf_threshold=0.5",0.5,35.480357142857144,2.8589285714285713,0.86,9.130813953488373,0.0,0.6084519981626091,0.0982449680903289,False
escalate_on_alarm,"theta_soft=42.9340, conf_threshold=0.7",0.7,35.792857142857144,2.3625,0.8,8.4,0.0,0.6138110549686112,0.08118556701030927,True
escalate_on_alarm,"theta_soft=42.9340, conf_threshold=0.8",0.8,36.06785714285714,2.157142857142857,0.7775,7.778135048231511,0.0,0.6185270249578931,0.07412862052037308,False
escalate_on_alarm,"theta_soft=42.9340, conf_threshold=0.9",0.9,36.48571428571429,1.5982142857142858,0.715,6.545454545454546,0.0,0.6256928494870617,0.054921453117329405,False
escalate_on_alarm,"theta_soft=42.9340, conf_threshold=0.95",0.95,36.982142857142854,1.2142857142857142,0.635,5.429133858267717,0.0,0.634206094013168,0.041728031418753066,False
escalate_on_alarm,"theta_soft=42.9340, conf_threshold=0.99",0.99,37.88928571428571,0.3410714285714286,0.19,5.026315789473684,0.0,0.6497626703414484,0.0117206676485027,False
