stream,calibrator,bin_center,mean_confidence,empirical_freq,count
fused,isotonic,0.25,0.2431022761390823,0.0,1
fused,isotonic,0.35,0.37504148582897745,0.41015625,256
fused,isotonic,0.75,0.75,0.42857142857142855,7
fused,isotonic,0.95,0.9766352993140917,0.9864864864864865,296
surprise,isotonic,0.25,0.21408862215586413,0.23529411764705882,34
surprise,isotonic,0.35,0.35879361918031655,0.40384615384615385,52
surprise,isotonic,0.45,0.46052842791797666,0.4945054945054945,182
surprise,isotonic,0.55,0.5068761076299885,0.5454545454545454,11
surprise,isotonic,0.95,0.9830763147489119,0.9786476868327402,281
disagreement,isotonic,0.35,0.3688203437677382,0.4897959183673469,49
disagreement,isotonic,0.45,0.4619978570833244,0.4444444444444444,198
disagreement,isotonic,0.55,0.5121322832103132,0.5294117647058824,17
disagreement,isotonic,0.65,0.6201693943043045,0.6060606060606061,33
disagreement,isotonic,0.85,0.8270833333333335,0.9375,16
disagreement,isotonic,0.95,1.0,0.9878542510121457,247
