primary,other,mean_lead_all_diff,perm_p_value,wilcoxon_p_value,det_primary_only,det_other_only,mcnemar_p_value
esn_cusum_max,rolling_surprisal,4.5,4.999750012499375e-05,9.167442311123127e-56,280,0,1.0295115178936058e-84
esn_cusum_max,cosine_drift,4.265,4.999750012499375e-05,3.859314843149632e-47,275,9,1.9379659755590974e-69
esn_cusum_max,iforest,3.965,4.999750012499375e-05,1.182641600253651e-44,243,1,1.7333135736816754e-71
esn_cusum_max,self_drift,3.34,4.999750012499375e-05,1.1798968289945893e-28,250,31,1.04048338978223e-43
esn_cusum_max,esn[u],2.59,4.999750012499375e-05,8.413220480686583e-15,178,11,5.557289418645107e-40
esn_cusum_max,esn_cusum[u],2.5025,4.999750012499375e-05,2.3350508881424845e-13,165,15,4.0608480156227916e-33
esn_cusum_max,mahalanobis,2.315,4.999750012499375e-05,1.567071165559314e-25,195,1,3.922988831163664e-57
esn_cusum_max,esn[m],2.2725,4.999750012499375e-05,5.932195803336454e-27,198,3,8.423485926143397e-55
esn_cusum_max,tcn,2.2225,4.999750012499375e-05,6.669141271521704e-39,149,1,2.1159606811304738e-43
esn_cusum_max,esn_cusum[m],2.15,4.999750012499375e-05,7.815237191797875e-44,139,0,2.8698592549372254e-42
esn_cusum_max,delta_mahalanobis,1.125,4.999750012499375e-05,4.7579953091922975e-06,146,2,6.180847266443903e-41
esn_cusum_max,esn_single,0.4875,0.0035498225088745564,0.21276045034807967,117,2,2.1489165207608205e-32
esn_cusum_max,esn_full,0.3325,0.05529723513824309,0.7865641816144966,104,5,3.778133811389131e-25
esn_cusum_max,lstm,-0.0125,0.9427028648567571,0.7280311667288741,69,9,1.3812783597891096e-12
esn_cusum_max,gru,-0.335,0.025848707564621768,5.86283714576834e-05,65,12,5.917714592428801e-10
esn_cusum_max,esn_cusum[e],-0.985,4.999750012499375e-05,1.1754147898559068e-07,71,18,1.2968749869187788e-08
esn_cusum_max,"esn_cusum[e,u]",-1.1125,4.999750012499375e-05,1.3597627947309903e-09,57,18,7.244156513774457e-06
esn_cusum_max,esn_cusum,-1.115,4.999750012499375e-05,6.455110757972142e-14,58,18,4.713242239575157e-06
esn_cusum_max,linear_ar,-1.21,4.999750012499375e-05,9.327319884142508e-15,64,18,3.3155201688475004e-07
esn_cusum_max,esn[e],-1.5425,4.999750012499375e-05,1.8014353300081662e-13,74,16,4.3857845641773173e-10
esn_cusum_max,"esn[e,u]",-1.62,4.999750012499375e-05,2.3209033438051473e-14,68,16,8.542340953724185e-09
